转债名称,转债代码,股票日期,股票名称,股票代码,所属行业,转债价格,涨跌_1,盘中套,股价,涨跌_2,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价格,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
台华转债,113525,2019-01-11,台华新材,603055,服装纺织,108,-0.04,-0.52,7.23,-1.09,5.3,0.9,8.11,2.19,-10.9,89.15,21.1,0.0,5.20,3.20,9.6,8.5,5.3,1.29,0.76,1.19,-1.19,-1.40,88.26,89.96,17.27,107.23,0.7,107.23,18,17,0.51,0.05,0.98,200,5.0,11
奇精转债,113524,2019-01-07,奇精机械,603677,家电,101.9,-0.22,-0.21,11.4,-1.21,0.5,0.1,14.56,2.29,-21.7,78.30,30.1,0.0,5.19,3.19,14.9,11.7,3.3,2.98,2.33,2.85,0.56,0.34,88.29,92.32,10.92,103.24,-1.3,103.24,17,18,0.35,0.32,0.39,200,5.0,53
光华转债,128051,2019-01-09,光华科技,002741,电子,110.691,0.17,0.53,12.8,1.03,7.5,2.7, 12.72,4.01,0.6,100.63,10.0,0.0,5.19,3.19,5.2,5.3,2.5,0.93,0.37,0.82,-1.77,-2.01,86.03,86.37,28.78,115.15,-3.9,115.15,13,17,0.68,0.97,0.42,325,6.0,26
钧达转债,128050,2018-12-27,钧达股份,002865,汽车,101.091,-0.30,-0.25,15.77,-1.93,0.2,0.1,21.66,2.38,-27.2,72.81,38.8,0.0,5.18,3.18,16.8,12.2,3.2,4.14,3.31,3.97,0.99,0.73,86.21,92.46,9.37,101.83,-0.7,101.83,18,18,0.29,-0.02,0.59,325,6.0,73
伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,119.78,1.28,0.17,20.78,1.81,2.5,0.5,17.47,5.79,18.9,118.95,0.7,0.0,5.18,3.18,2.2,2.7,4.4,-0.75,-1.27,-0.85,-4.24,-4.44,88.34,90.04,38.64,128.68,-6.9,128.68,2,16,0.80,2.10,-0.37,200,5.0,24
福能转债,110048,2018-12-28,福能股份,600483,能源电力,116.61,-0.21,-0.31,8.57,-0.81,12,0.4,8.48,1.16,1.1,101.06,15.4,0.0,5.17,3.17,21.3,21.5,28.3,-0.39,-0.89,-0.49,-3.46,-3.67,89.78,91.48,23.12,114.60,1.8,114.60,19,16,0.64,0.09,1.18,375,4.5,12
华源转债,128049,2018-12-20,华源控股,002787,造纸包装印刷,102.937,-0.24,-0.57,6.59,-1.49,3.4,0.8,7.52,1.47,-12.4,87.63,17.5,0.0,5,3,19.5,17.1,4.0,2.35,1.79,2.24,0.32,0.09,86.02,86.36,20.04,106.40,-3.3,106.40,14,18,0.54,0.65,0.44,325,6.0,62
旭升转债,113522,2018-12-11,旭升股份,603305,汽车,115.3,2.18,1.36,28.92,6.25,19,3.9,29.60,8.33,-2.3,97.70,18.0,0.0,5,3,3.6,3.5,4.2,0.85,0.16,0.71,-3.17,-3.38,88.55,94.15,19.98,114.13,1.0,114.13,20,16,0.57,0.02,1.12,200,5.0,29
山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,108.53,0.06,-0.21,3.08,-0.32,0.8,0.0,3.34,1.04,-7.8,92.22,17.7,0.0,5,3,16.3,15.0,23.0,1.77,1.12,1.64,-1.35,-1.57,89.98,95.02,15.37,110.39,-1.7,110.39,14,16,0.49,0.65,0.35,375,4.5,54
寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,119.1,-1.98,-3.79,62.7,-7.30,28,5.3,57.49,11.07,9.1,109.06,9.2,0.0,5,3,2.6,2.8,4.4,-1.37,-1.76,-1.45,-4.19,-4.39,85.70,82.94,36.24,119.18,-0.1,119.18,2,16,0.79,0.41,1.17,325,6.0,38
圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,118.51,0.04,0.62,11.51,0.96,7.6,0.2,10.73,2.87,7.3,107.27,10.5,0.0,5,3,10.9,11.6,35.4,-0.49,-1.03,-0.60,-3.91,-4.14,90.25,92.76,27.05,119.81,-1.1,119.81,16,16,0.68,0.73,0.65,375,4.5,31
桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,118.5,0.42,0.30,12.7,1.11,5.0,0.1,12.51,1.40,1.5,101.52,16.7,0.0,5,3,15.0,15.2,34.8,-0.92,-1.38,-1.02,-4.04,-4.24,89.78,90.69,23.76,114.44,3.5,114.44,22,16,0.65,-0.25,1.56,375,4.5,24
特发转债,127008,2018-12-25,特发信息,000070,通信互联网,223.3,0.31,-1.30,12.07,-0.98,75,43.1,5.61,3.80,115,215.15,3.8,0.0,4,2,0.8,1.7,0.8,-15.7,-16.1,-15.8,-20.5,-20.6,91.57,91.52,123.63,215.15,3.8,215.15,100,17,1.00,0.23,1.76,200,5.0,27
科森转债,113521,2018-12-07,科森科技,603626,通信互联网,108.58,-0.04,-1.92,8.47,-3.31,4.5,0.7,8.70,2.14,-2.6,97.36,11.5,0.0,5,3,17.4,17.0,6.1,1.28,0.72,1.17,-1.31,-1.55,88.85,90.69,23.17,113.86,-4.6,113.86,10,18,0.59,1.28,-0.03,200,5.0,71
张行转债,128048,2018-11-29,张家港行,002839,金融,107,0.01,-1.04,5.35,-2.01,3.7,0.1,5.91,1.01,-9.5,90.52,18.2,0.0,5,0,25.9,23.4,25.0,1.33,0.81,1.23,0,0,0,91.76,17.43,109.18,-2.0,109.18,15,18,0.51,0.70,0.34,375,4.5,41
百合转债,113520,2018-11-26,梦百合,603313,其他,120.67,-1.52,-1.82,16.46,-4.14,3.5,0.7,14.28,2.83,15.3,115.27,4.7,0.0,5,3,7.5,8.6,3.9,-0.84,-1.38,-0.95,-4.51,-4.73,86.28,86.62,39.21,125.83,-4.1,125.83,2,16,0.81,1.28,0.38,325,6.0,15
洲明转债,123016,2018-12-03,洲明科技,300232,电子,123.021,-0.36,0.71,9.06,0.44,0.1,0.0,7.82,3.30,15.9,115.86,6.2,0.0,5,3,5.6,6.5,4.7,-1.21,-1.75,-1.32,-5.01,-5.24,86.54,86.75,39.68,126.43,-2.7,126.43,14,16,0.81,0.98,0.66,325,6.0,18
长久转债,113519,2018-11-30,长久物流,603569,交通运输,108.26,0.40,-0.60,10.19,-0.49,0.5,0.1,11.85,2.39,-14.0,85.99,25.9,0.0,5,3,12.2,10.5,7.0,2.19,1.48,2.05,-1.21,-1.45,89.02,94.63,13.44,108.07,0.2,108.07,18,17,0.42,0.06,0.78,200,5.0,21
光电转债,128047,2018-12-07,中航光电,002179,机械装备制造,133.1,1.74,-0.36,41.18,1.38,57,6.2,30.87,6.71,33.4,133.40,-0.2,0.0,5,3,1.6,2.2,7.0,-3.75,-4.09,-3.81,-7.51,-7.69,89.83,88.34,45.06,133.40,-0.2,133.40,2,16,1.00,1.05,0.96,375,4.5,14
利尔转债,128046,2018-11-09,利尔化学,002258, 石油然气化工,102.997,-0.29,0.00,11.57,-1.87,1.3,0.2,18.62,2.02,-37.9,62.14,65.8,0.0,5,3,14.0,8.7,8.5,1.96,1.46,1.86,0.25,0.01,88.98,89.13,3.62,92.76,11.0,92.76,36,16,0.16,-1.99,2.45,200,5.0,15
顾家转债,113518,2018-10-09,顾家家居,603816,其他,115.26,-0.89,-0.24,34.03,-2.04,2.2,0.2,36.57,4.34,-6.9,93.05,23.9,0.0,4.93,2.93,5.4,5.0,11.0,-0.06,-0.60,-0.17,-3.47,-3.67,89.00,90.72,18.12,108.83,5.9,108.83,25,16,0.55,-0.90,2.05,200,5.0,17
机电转债,128045,2018-09-14,中航机电,002013, 航空航,114.52,-0.41,0.34,6.51,-0.15,0.1,0.0,7.63,2.59,-14.7,85.32,34.2,0.0,4.89,2.89,8.9,7.6,21.0,-0.87,-1.24,-0.95,-3.34,-3.54,91.72,90.96,12.05,103.01,11.2,103.01,34,16,0.44,-1.66,2.67,300,4.0,19
岭南转债,128044,2018-09-04,岭南股份,002717,城市公用设施,103.143,-0.25,0.25,4.76,0.00,0.3,0.0, 5.92,1.62,-19.6,80.41,28.3,0.0,4.86,2.86,9.0,7.2,6.6,1.70,1.25,1.61,0.05,-0.16,89.25,88.61,11.19,99.79,3.4,99.79,23,16,0.40,-0.50,1.30,200,5.0,45
蓝盾转债,123015,2018-09-13,蓝盾股份,300297,计算机及应用,111.12,0.14,-0.81,5.7,-1.89,1.5,1.3, 5.79,1.45,-1.6,98.45,12.9,0.0,4.85,2.85,1.4,1.4,1.0,0.33,-0.15,0.24,-2.38,-2.59,89.36,89.51,11.81,101.31,9.7,101.31,84,16,0.35,-1.27,2.04,200,5.0,25
曙光转债,113517,2018-08-23,中科曙光,603019,计算机及应用,113.74,-0.31,-0.75,34.33,-1.83,6.6,0.5,36.53,8.19,-6.0,93.98,21.0,0.0,4.83,2.83,3.6,3.4,11.2,-0.16,-0.64,-0.25,-3.15,-3.36,89.44,89.59,19.15,108.74,4.6,108.74,23,16,0.58,-0.63,1.81,200,5.0,16
东音转债,128043,2018-08-27,东音股份,002793,机械装备制造,174.1,-1.08,-2.43,10.99,-3.51,70,25.0, 6.55,2.50,67.8,167.79,3.8,0.0,4.82,2.82,4.0,6.7,1.6,-8.35,-8.84,-8.45,-10.4,-10.5,87.04,87.38,80.40,167.79,3.8,167.79,98,17,1.00,0.24,1.75,325,6.0,20
苏农转债,113516,2018-08-20,苏农银行,603323,金融,107,-0.20,-1.19,5.15,-2.83,4.3,0.3,5.67,0.85,-9.2,90.83,17.8,0.0,4.82,0,13.9,12.6,12.9,1.56,0.98,1.44,0,0,0,93.49,16.29,109.78,-2.5,109.78,14,18,0.49,0.82,0.20,375,4.5,32
凯发转债,123014,2018-08-21,凯发电气,300407,能源电力,108.798,-0.52,-1.63,7.78,-3.35,1.9,1.5,8.14,2.08,-4.4,95.58,13.8,0.0,3.81,1.81,4.9,4.7,1.2,0.07,-0.37,-0.02,-3.30,-3.48,88.36,83.16,24.76,107.92,0.8,107.92,18,18,0.64,-0.08,1.36,275,7.5,24
凯中转债,128042,2018-09-03,凯中精密,002823,能源电力,102.815,-1.04,1.04,9.7,0.00,0.5,0.1,13.01,2.41,-25.4,74.56,37.9,0.0,4.81,2.81,14.8,11.0,4.2,2.75,2.11,2.62,0.19,-0.03,89.52,92.84,7.63,100.47,2.3,100.47,24,17,0.29,-0.41,0.98,200,5.0,42
横河转债,123013,2018-08-20,横河模具,300539,机械装备制造,103.129,-0.62,-0.33,7.41,-1.98,0.1,0.2,9.22,3.42,-19.6,80.37,28.3,0.0,4.80,2.80,2.3,1.9,0.4,2.54,1.92,2.41,0.34,0.07,84.24,82.65,17.30,99.95,3.2,99.95,22,17,0.48,-0.90,1.90,275,7.5,26
高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,115.38,-0.29,-0.61,9.51,-1.35,0.6,0.1,9.33,2.27,1.9,101.93,13.2,0.0,4.80,2.80,11.1,11.3,7.1,-0.46,-0.94,-0.56,-3.65,-3.86,89.57,89.72,24.64,114.36,0.9,114.36,18,16,0.67,0.20,1.14,200,5.0,22
