序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度,转债名称.1
146,无锡转债!,110043,无锡银行,600908,金融,103.92,0.06%,0.08%,5.25,0.38%,1.8,0.1%,6.52,0.91,-19.5%,80.52,29.1%,转股中,4年58天,无权,30.9%,24.9%,30.0,1.31%,0.87%,1.22%,无权,无权,无权,91.55,9.73,101.29,2.6%,39%,24%,18%,0.37,-0.3,1.04,AA+,4.5%,56,无锡转债!
147,江银转债!,128034,江阴银行,2807,金融,106.524,-0.45%,0.57%,4.35,0.23%,1.9,0.1%,4.68,0.86,-7.1%,92.95,14.6%,转股中,4年54天,无权,18.6%,17.3%,17.6,0.70%,0.26%,0.61%,无权,无权,无权,91.6,16.69,108.29,-1.6%,43%,18%,18%,0.53,0.7,0.38,AA+,4.5%,46,江银转债!
148,道氏转债!!,123007,道氏技术,300409,建筑,102.2,-0.37%,-0.11%,10.65,-2.29%,0.4,0.1%,15.05,2.09,-29.2%,70.76,44.4%,转股中,4年25天,2年25天,6.2%,4.4%,3.0,2.33%,1.77%,2.22%,0.59%,0.28%,91.04,88.87,6.55,95.42,7.1%,61%,29%,16%,0.21,-1.32,1.79,AA-,6.0%,19,道氏转债!!
149,迪龙转债!,128033,雪迪龙,2658,城市公用设施,98.73899999999999,-0.69%,0.48%,6.45,-0.92%,0.4,0.1%,8.93,1.97,-27.8%,72.23,36.7%,转股中,4年24天,2年24天,13.3%,9.6%,5.2,2.82%,2.32%,2.72%,1.95%,1.67%,92.51,90.83,6.4,97.23,1.5%,38%,22%,17%,0.23,-0.18,0.63,AA,5.0%,44,迪龙转债!
150,吉视转债!,113017,吉视传媒,601929,传媒娱乐,97.5,-0.15%,0.15%,2.02,0.00%,2.7,0.2%,2.95,0.94,-31.5%,68.47,42.4%,转股中,4年24天,2年24天,24.8%,17.0%,15.6,3.15%,2.65%,3.05%,2.54%,2.26%,93.50,92.57,3.91,96.48,1.1%,28%,20%,16%,0.16,-0.1,0.42,AA+,4.5%,30,吉视转债!
151,航电转债,110042,中航电子,600372,航空航天,115.3,0.12%,-0.56%,13.57,-0.80%,4.8,0.2%,14.18,3.27,-4.3%,95.7,20.5%,转股中,4年22天,2年22天,10.0%,9.6%,24.0,-1.22%,-1.66%,-1.31%,-4.86%,-5.12%,94.74,93.97,15.66,109.63,5.2%,35%,24%,16%,0.54,-0.49,1.59,AAA,4.0%,13,航电转债
152,蒙电转债!,110041,内蒙华电,600863,能源电力,114.97,0.22%,-0.40%,2.58,-0.39%,6.0,0.3%,2.82,1.29,-8.5%,91.49,25.7%,转股中,4年19天,2年19天,12.5%,11.4%,18.7,-0.91%,-1.39%,-1.00%,-4.71%,-4.99%,94.87,94.95,12.71,107.66,6.8%,24%,24%,16%,0.48,-0.88,1.88,AAA,4.0%,10,蒙电转债!
153,双环转债!,128032,双环传动,2472,机械装备制造,96.78399999999999,0.16%,-0.16%,5.25,0.38%,3.6,0.4%,9.93,1.05,-47.1%,52.87,83.1%,转股中,4年22天,2年22天,27.7%,14.7%,10.0,3.46%,2.94%,3.36%,3.00%,2.69%,92.77,91.29,2.25,93.54,3.5%,34%,32%,16%,0.02,-0.66,0.7,AA,5.0%,34,双环转债!
154,天康转债!!,128030,天康生物,2100,农业,166.4,4.48%,1.17%,12.91,5.65%,229.0,75.6%,8.05,3.45,60.4%,160.37,3.8%,转股中,4年19天,2年19天,1.3%,2.1%,1.8,-9.31%,-9.80%,-9.41%,-14.7%,-14.9%,92.80,92.97,67.4,160.37,3.8%,41%,>100%,16%,1.0,0.24,1.75,AA,5.0%,10,天康转债!!
155,太阳转债!,128029,太阳纸业,2078,造纸包装印刷,123.0,0.41%,-1.25%,8.91,-1.33%,0.2,0.0%,8.65,1.68,3.0%,103.01,19.4%,转股中,3年19天,1年19天,5.2%,5.3%,12.0,-4.13%,-4.61%,-4.22%,-14.0%,-14.2%,96.18,94.84,17.6,112.44,9.4%,37%,32%,16%,0.63,-1.23,2.6,AA+,4.5%,10,太阳转债!
