序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度,转债名称.1
70,浙商转债!,113022,浙商证券,601878,金融,105.89,-0.39%,0.45%,8.53,0.24%,3.5,0.1%,12.46,2.01,-31.5%,68.46,54.7%,转股中,5.27年,无权,12.3%,8.4%,35.0,0.74%,0.38%,0.67%,无权,无权,无权,89.82,6.3,96.13,10.2%,46%,35%,18%,0.26,-1.68,2.31,AAA,4.0%,36,浙商转债!
71,视源转债,128059,视源股份,2841,电子,120.836,-0.05%,-0.40%,84.0,-0.59%,2.2,0.2%,75.72,12.19,10.9%,110.94,8.9%,转股中,5.26年,3.26年,1.7%,1.9%,9.4,-1.07%,-1.55%,-1.17%,-4.38%,-4.58%,87.97,88.89,32.95,121.84,-0.8%,52%,16%,16%,0.75,0.66,0.84,AA,5.0%,17,视源转债
72,中鼎转2!,127011,中鼎股份,887,汽车,106.59700000000001,-0.16%,0.56%,8.29,1.59%,4.9,0.4%,11.79,1.18,-29.7%,70.31,51.6%,转股中,5.26年,3.26年,11.9%,8.3%,12.0,1.61%,1.06%,1.50%,-0.72%,-0.94%,89.66,92.29,6.31,98.6,8.1%,35%,31%,17%,0.25,-1.4,1.97,AA+,4.5%,19,中鼎转2!
73,拓邦转债,128058,拓邦股份,2139,电子,112.21,0.35%,-0.16%,5.08,0.40%,1.2,0.2%,5.54,2.2,-8.3%,91.7,22.4%,转股中,5.25年,3.25年,11.1%,10.1%,5.7,1.81%,1.05%,1.65%,-1.97%,-2.24%,88.99,95.8,16.22,112.02,0.2%,54%,18%,16%,0.48,0.11,0.86,AA,5.0%,27,拓邦转债
74,博彦转债,128057,博彦科技,2649,计算机及应用,110.4,0.05%,-0.58%,8.82,-0.79%,3.4,0.5%,8.81,1.77,0.1%,100.11,10.3%,转股中,5.25年,3.25年,12.3%,12.4%,5.7,1.24%,0.64%,1.12%,-1.73%,-1.95%,85.56,87.24,27.02,114.26,-3.4%,75%,12%,16%,0.67,0.84,0.52,AA-,6.0%,56,博彦转债
75,贵广转债,110052,贵广网络,600996,传媒娱乐,112.36,-0.41%,0.34%,7.56,-0.13%,8.5,0.5%,8.04,1.76,-6.0%,94.03,19.5%,转股中,5.25年,3.25年,19.2%,18.1%,15.3,1.13%,0.49%,1.00%,-2.18%,-2.41%,89.96,94.97,16.99,111.96,0.4%,44%,18%,16%,0.52,0.24,0.8,AA+,4.5%,26,贵广转债
76,万信转2!,123021,万达信息,300168,计算机及应用,123.2,3.08%,1.07%,16.54,5.22%,210.0,26.5%,13.6,5.02,21.6%,121.62,1.3%,转股中,5.25年,3.25年,3.5%,4.2%,6.5,-0.79%,-1.38%,-0.91%,-4.95%,-5.15%,88.05,92.07,39.53,131.6,-6.4%,49%,<2%,16%,0.8,1.96,-0.25,AA,5.0%,31,万信转2!
77,中信转债,113021,中信银行,601998,金融,107.73,-0.16%,0.10%,5.95,-0.17%,29.0,0.1%,7.22,0.67,-17.6%,82.41,30.7%,转股中,5.25年,无权,13.7%,11.3%,400.0,1.99%,1.33%,1.85%,无权,无权,无权,97.52,10.34,107.86,-0.1%,23%,18%,17%,0.36,0.3,0.43,AAA,4.0%,51,中信转债
78,富祥转债,123020,富祥股份,300497,医药,117.25,-0.53%,-0.23%,17.25,-0.98%,1.0,0.2%,14.93,3.69,15.5%,115.54,1.5%,转股中,5.23年,3.23年,8.0%,9.3%,3.8,0.63%,-0.06%,0.49%,-3.39%,-3.63%,85.91,89.93,37.56,127.5,-8.0%,57%,<2%,16%,0.78,2.13,-0.42,AA-,6.0%,36,富祥转债
79,长城转债!,113528,长城科技,603897,机械装备制造,97.5,0.22%,-0.12%,17.32,0.29%,0.5,0.1%,24.03,1.74,-27.9%,72.08,35.3%,转股中,5.23年,3.23年,20.5%,14.8%,6.3,3.82%,3.18%,3.69%,2.07%,1.80%,85.90,87.71,9.84,97.54,-0.0%,47%,18%,17%,0.32,-0.15,0.79,AA-,6.0%,42,长城转债!
80,今飞转债!,128056,今飞凯达,2863,汽车,97.0,-0.10%,0.44%,5.35,0.75%,2.0,0.6%,6.78,2.02,-21.1%,78.91,22.9%,转股中,5.23年,3.23年,18.3%,14.4%,3.7,4.53%,3.77%,4.38%,2.33%,2.04%,82.25,84.13,17.1,101.23,-4.2%,65%,12%,17%,0.46,0.33,0.59,A+,7.5%,56,今飞转债!
81,中天转债!,110051,中天科技,600522,通信互联网,104.18,-0.16%,0.03%,8.01,-0.37%,26.0,0.6%,10.19,1.22,-21.4%,78.61,32.5%,转股中,5.23年,3.23年,16.1%,12.7%,39.7,1.82%,1.32%,1.72%,-0.11%,-0.33%,89.53,91.22,9.5,100.72,3.4%,34%,22%,16%,0.36,-0.5,1.22,AA+,4.5%,32,中天转债!
82,长青转2,128055,长青股份,2391,石油天然气化工,114.956,-0.47%,-0.41%,7.74,-1.28%,1.7,0.2%,7.41,1.28,4.5%,104.45,10.1%,转股中,5.23年,3.23年,21.9%,22.9%,9.1,0.09%,-0.44%,-0.01%,-2.94%,-3.16%,88.31,90.0,27.35,117.35,-2.0%,41%,14%,16%,0.69,0.79,0.6,AA,5.0%,29,长青转2
83,中来转债!,123019,中来股份,300393,能源电力,111.16,0.24%,-0.28%,13.78,-0.07%,5.9,0.5%,13.29,1.86,3.7%,103.69,7.2%,转股中,5.22年,3.22年,20.2%,21.0%,10.0,2.31%,1.49%,2.15%,-1.74%,-2.01%,86.26,92.82,28.69,121.5,-8.5%,50%,7%,18%,0.63,1.95,-0.54,AA-,6.0%,55,中来转债!
84,中宠转债!,128054,中宠股份,2891,农业,115.848,-0.34%,-1.80%,23.04,-2.74%,1.2,0.5%,22.28,4.7,3.4%,103.41,12.0%,转股中,5.20年,3.20年,5.0%,5.1%,1.9,-0.04%,-0.58%,-0.15%,-3.21%,-3.42%,81.72,80.05,35.79,115.85,0.0%,58%,17%,16%,0.78,0.01,1.55,A+,7.5%,27,中宠转债!
85,尚荣转债,128053,尚荣医疗,2551,医药,101.50200000000001,-0.39%,0.62%,4.3,0.47%,9.9,1.3%,4.89,1.3,-12.1%,87.93,15.4%,转股中,5.19年,3.19年,24.7%,21.7%,7.5,2.54%,1.99%,2.43%,0.68%,0.45%,88.27,89.97,15.75,105.71,-4.0%,41%,12%,16%,0.5,1.01,0.04,AA,5.0%,67,尚荣转债
86,维格转债!,113527,锦泓集团,603518,服装纺织,91.0,0.11%,-0.23%,6.65,-0.75%,3.8,0.6%,10.52,0.7,-36.8%,63.21,44.0%,转股中,5年49天,3年49天,44.5%,28.1%,7.5,5.79%,5.03%,5.63%,4.19%,3.93%,88.74,94.47,4.21,98.67,-7.8%,42%,<2%,18%,0.16,1.68,-1.18,AA,5.0%,75,维格转债!
87,联泰转债!,113526,联泰环保,603797,城市公用设施,127.72,-0.41%,0.41%,10.66,0.00%,0.5,0.2%,8.72,2.56,22.2%,122.25,4.5%,转股中,5年48天,3年48天,6.4%,7.9%,2.2,-2.73%,-3.11%,-2.80%,-6.20%,-6.39%,88.33,86.92,35.32,122.25,4.5%,54%,96%,18%,1.0,0.1,1.89,AA,5.0%,17,联泰转债!
88,凯龙转债!,128052,凯龙股份,2783,石油天然气化工,165.352,-2.51%,5.26%,11.22,2.75%,223.0,161%,6.77,2.44,65.7%,165.73,-0.2%,转股中,5年15天,3年15天,2.0%,3.3%,0.8,-7.00%,-7.48%,-7.09%,-13.3%,-13.4%,89.11,90.82,74.91,165.73,-0.2%,81%,<2%,17%,1.0,1.05,0.95,AA,5.0%,17,凯龙转债!
89,溢利转债,123018,溢多利,300381,医药,112.447,0.40%,-0.24%,8.57,0.23%,0.1,0.0%,8.35,1.61,2.6%,102.63,9.6%,转股中,5年14天,3年14天,10.3%,10.6%,3.9,0.51%,-0.04%,0.40%,-2.49%,-2.71%,86.30,86.51,29.64,116.15,-3.2%,39%,13%,17%,0.7,0.85,0.57,AA-,6.0%,26,溢利转债
90,佳都转债!,110050,佳都科技,600728,计算机及应用,120.29,-0.50%,0.33%,8.88,-0.22%,4.4,0.6%,7.89,3.13,12.5%,112.55,6.9%,转股中,5年13天,3年13天,4.5%,5.0%,6.6,-1.03%,-1.53%,-1.13%,-4.54%,-4.75%,88.94,89.87,33.33,123.2,-2.4%,43%,13%,16%,0.76,1.01,0.53,AA,5.0%,18,佳都转债!
91,海尔转债!,110049,海尔智家,600690,家电,119.5,0.65%,-0.53%,16.95,0.12%,197.0,8.7%,14.2,2.45,19.4%,119.37,0.1%,转股中,5年12天,3年12天,1.7%,2.1%,19.0,-1.66%,-2.02%,-1.73%,-4.43%,-4.62%,91.39,90.64,28.73,119.37,0.1%,32%,32%,16%,1.0,0.98,1.02,AAA,4.0%,26,海尔转债!
92,台华转债!,113525,台华新材,603055,服装纺织,103.8,0.00%,-0.12%,6.66,-0.30%,2.2,0.4%,8.11,1.98,-17.9%,82.12,26.4%,转股中,5年11天,3年11天,10.4%,8.5%,5.3,2.15%,1.59%,2.04%,0.00%,-0.23%,88.97,90.68,12.6,103.28,0.5%,49%,19%,17%,0.42,-0.0,0.84,AA,5.0%,13,台华转债!
93,奇精转债!,113524,奇精机械,603677,家电,101.7,0.04%,0.03%,12.14,0.17%,0.5,0.2%,14.56,2.39,-16.6%,83.38,22.0%,转股中,5年8天,3年8天,14.0%,11.7%,3.3,3.12%,2.45%,2.99%,0.65%,0.41%,89.00,93.06,13.16,106.22,-4.3%,56%,13%,18%,0.41,0.98,-0.11,AA,5.0%,46,奇精转债!
94,光华转债!,128051,光华科技,2741,电子,103.705,0.39%,0.34%,11.19,1.36%,0.4,0.1%,12.72,3.46,-12.0%,87.97,17.9%,转股中,5年8天,3年8天,6.0%,5.3%,2.5,2.31%,1.72%,2.19%,0.19%,-0.07%,86.86,87.2,19.04,106.23,-2.4%,37%,15%,17%,0.54,0.47,0.61,AA-,6.0%,26,光华转债!
95,钧达转债!,128050,钧达股份,2865,汽车,97.565,0.16%,-0.30%,14.64,-0.68%,0.6,0.2%,21.66,2.16,-32.4%,67.59,44.3%,转股中,5年4.6天,3年4.6天,18.1%,12.2%,3.2,5.04%,4.18%,4.87%,2.20%,1.91%,87.03,93.34,6.57,99.92,-2.4%,62%,15%,18%,0.22,0.34,0.11,AA-,6.0%,63,钧达转债!
96,伟明转债!,113523,伟明环保,603568,城市公用设施,124.71,0.38%,-0.07%,21.4,0.38%,1.0,0.2%,17.47,5.44,22.5%,122.5,1.8%,转股中,5年4.6天,3年4.6天,1.6%,2.0%,3.2,-1.58%,-2.11%,-1.69%,-5.67%,-5.87%,89.05,90.76,40.85,131.62,-5.2%,40%,<2%,16%,0.82,1.77,-0.05,AA,5.0%,23,伟明转债!
97,福能转债,110048,福能股份,600483,能源电力,118.37,0.00%,0.15%,8.9,0.23%,6.5,0.2%,8.48,1.16,5.0%,104.95,12.8%,转股中,5年1.6天,3年1.6天,20.5%,21.5%,28.3,-0.71%,-1.22%,-0.81%,-4.10%,-4.32%,90.43,92.14,25.37,117.51,0.7%,28%,18%,16%,0.67,0.33,1.01,AA+,4.5%,11,福能转债
98,华源转债!,128049,华源控股,2787,造纸包装印刷,99.27,0.17%,-0.09%,6.35,0.16%,3.7,0.9%,7.52,1.4,-15.6%,84.44,17.6%,转股中,4.98年,2.98年,20.3%,17.1%,4.0,3.09%,2.52%,2.98%,1.36%,1.13%,86.34,86.68,17.38,104.06,-4.6%,66%,13%,18%,0.49,0.89,0.12,AA-,6.0%,52,华源转债!
99,旭升转债!,113522,旭升股份,603305,汽车,117.37,0.15%,-0.43%,30.56,-0.46%,0.5,0.1%,29.6,8.48,3.2%,103.24,13.7%,转股中,4.97年,2.97年,3.4%,3.5%,4.2,0.44%,-0.25%,0.30%,-4.00%,-4.19%,88.86,94.5,23.03,117.53,-0.1%,59%,17%,16%,0.62,0.36,0.89,AA,5.0%,24,旭升转债!
100,山鹰转债,110047,山鹰纸业,600567,造纸包装印刷,112.78,-0.19%,0.03%,3.24,-0.31%,5.6,0.2%,3.34,1.07,-3.0%,97.01,16.3%,转股中,4.96年,2.96年,15.5%,15.0%,23.0,0.95%,0.31%,0.82%,-2.75%,-2.95%,90.23,95.3,17.94,113.25,-0.4%,29%,17%,16%,0.54,0.41,0.69,AA+,4.5%,46,山鹰转债
101,寒锐转债!,123017,寒锐钴业,300618,有色金属,128.2,1.38%,1.95%,67.22,3.98%,28.0,4.9%,57.49,11.24,16.9%,116.92,9.6%,转股中,4.96年,2.96年,2.4%,2.8%,4.4,-2.95%,-3.33%,-3.02%,-6.72%,-6.90%,86.22,83.43,41.98,125.42,2.2%,76%,22%,16%,0.84,0.09,1.59,AA-,6.0%,25,寒锐转债!
102,圆通转债,110046,圆通速递,600233,交通运输,121.17,-0.07%,0.20%,12.5,0.16%,12.0,0.3%,10.73,2.97,16.5%,116.5,4.0%,转股中,4.96年,2.96年,10.0%,11.6%,35.4,-1.05%,-1.58%,-1.16%,-4.93%,-5.14%,90.40,92.92,33.7,126.62,-4.3%,38%,9%,16%,0.76,1.53,0.06,AA+,4.5%,27,圆通转债
103,桐昆转债!,113020,桐昆股份,601233,服装纺织,118.5,0.00%,-0.05%,12.79,-0.08%,1.6,0.0%,12.51,1.32,2.2%,102.24,15.9%,转股中,4.96年,2.96年,14.7%,15.0%,34.8,-1.01%,-1.47%,-1.10%,-4.33%,-4.52%,90.13,91.04,23.69,114.73,3.3%,49%,22%,16%,0.65,-0.2,1.51,AA+,4.5%,19,桐昆转债!
104,特发转债!,127008,特发信息,70,通信互联网,183.3,-0.70%,0.13%,10.33,-0.58%,12.0,8.8%,5.61,3.16,84.1%,184.14,-0.5%,转股中,3.95年,1.95年,0.9%,1.7%,0.8,-12.0%,-12.5%,-12.1%,-18.4%,-18.5%,91.90,91.85,92.28,184.13,-0.5%,65%,<2%,17%,1.0,1.1,0.91,AA,5.0%,20,特发转债!
105,科森转债!,113521,科森科技,603626,通信互联网,104.81,-0.08%,-0.52%,8.03,-1.11%,2.6,0.4%,8.7,2.08,-7.7%,92.3,13.6%,转股中,4.95年,2.95年,18.4%,17.0%,6.1,1.97%,1.40%,1.85%,-0.40%,-0.62%,89.06,90.91,19.28,110.2,-4.9%,59%,12%,18%,0.54,1.23,-0.09,AA,5.0%,60,科森转债!
106,张行转债,128048,张家港行,2839,金融,110.301,-0.18%,-0.11%,5.58,-0.53%,0.3,0.0%,5.91,1.02,-5.6%,94.42,16.8%,转股中,4.94年,无权,24.8%,23.4%,25.0,0.66%,0.15%,0.56%,无权,无权,无权,92.02,19.31,111.33,-0.9%,51%,18%,18%,0.54,0.53,0.56,AA+,4.5%,32,张行转债
107,百合转债,113520,梦百合,603313,其他,131.99,2.56%,1.47%,18.85,4.55%,28.0,5.6%,14.28,3.03,32.0%,132.0,-0.0%,转股中,4.93年,2.93年,6.2%,8.2%,3.8,-2.77%,-3.30%,-2.88%,-7.61%,-7.80%,86.60,86.94,52.81,139.75,-5.6%,40%,<2%,16%,0.89,1.86,0.01,AA-,6.0%,14,百合转债
108,洲明转债,123016,洲明科技,300232,电子,116.59100000000001,1.41%,0.50%,8.29,2.60%,2.1,0.4%,7.82,2.86,6.0%,106.01,10.0%,转股中,4.92年,2.92年,6.2%,6.5%,4.7,-0.23%,-0.78%,-0.34%,-3.73%,-3.95%,86.86,87.07,30.95,118.02,-1.2%,45%,15%,16%,0.74,0.51,0.96,AA-,6.0%,17,洲明转债
109,长久转债,113519,长久物流,603569,交通运输,108.6,0.33%,-0.41%,10.18,-0.20%,0.2,0.0%,11.85,2.37,-14.1%,85.91,26.4%,转股中,4.92年,2.92年,12.2%,10.5%,7.0,2.10%,1.38%,1.96%,-1.53%,-1.75%,89.23,94.88,12.84,107.72,0.8%,46%,20%,17%,0.41,-0.06,0.88,AA,5.0%,18,长久转债
110,利尔转债!,128046,利尔化学,2258,石油天然气化工,102.961,0.04%,-0.08%,11.41,-0.26%,0.2,0.0%,18.62,1.94,-38.7%,61.28,68.0%,转股中,4.87年,2.87年,14.2%,8.7%,8.5,1.95%,1.45%,1.85%,0.14%,-0.08%,89.29,89.44,3.11,92.55,11.3%,40%,38%,16%,0.14,-2.0,2.42,AA,5.0%,13,利尔转债!
111,顾家转债,113518,顾家家居,603816,其他,120.5,0.08%,-0.58%,39.63,-0.70%,4.7,0.4%,36.57,4.68,8.4%,108.37,11.2%,转股中,4.77年,2.77年,4.6%,5.0%,11.0,-1.01%,-1.56%,-1.12%,-5.12%,-5.32%,89.71,91.44,28.34,119.78,0.6%,42%,18%,16%,0.71,0.34,1.08,AA,5.0%,14,顾家转债
112,机电转债!,128045,中航机电,2013,航空航天,113.75,0.31%,1.42%,6.71,3.71%,16.0,0.7%,7.63,2.61,-12.1%,87.94,29.3%,转股中,4.73年,2.73年,8.7%,7.6%,21.0,-0.76%,-1.14%,-0.83%,-3.30%,-3.51%,92.30,91.54,13.12,104.66,8.7%,46%,29%,16%,0.47,-1.22,2.23,AAA,4.0%,14,机电转债!
113,岭南转债!,128044,岭南股份,2717,城市公用设施,99.32700000000001,0.33%,-0.13%,4.41,0.68%,22.0,3.4%,5.92,1.46,-25.5%,74.49,33.3%,转股中,4.69年,2.69年,9.7%,7.2%,6.6,2.60%,2.12%,2.51%,1.39%,1.16%,89.96,89.32,7.84,97.16,2.2%,64%,21%,16%,0.3,-0.34,0.93,AA,5.0%,40,岭南转债!
114,蓝盾转债!!,123015,蓝盾股份,300297,计算机及应用,110.72,0.21%,-0.21%,5.36,0.00%,0.3,0.2%,5.79,1.36,-7.4%,92.57,19.6%,转股中,4.69年,2.69年,1.5%,1.4%,1.0,0.42%,-0.08%,0.32%,-2.39%,-2.61%,90.07,90.22,10.06,100.28,10.4%,40%,>100%,16%,0.07,-1.77,2.0,AA,5.0%,21,蓝盾转债!!
115,曙光转债!,113517,中科曙光,603019,计算机及应用,114.31,0.29%,0.27%,34.33,0.97%,7.5,0.6%,36.53,8.08,-6.0%,93.98,21.6%,转股中,4.67年,2.67年,3.6%,3.4%,11.2,-0.27%,-0.77%,-0.37%,-3.51%,-3.72%,90.15,90.31,18.52,108.83,5.0%,54%,25%,16%,0.57,-0.71,1.88,AA,5.0%,12,曙光转债!
116,东音转债!!,128043,东音股份,2793,机械装备制造,166.0,-1.95%,-0.57%,10.85,-2.52%,7.5,2.9%,6.55,4.06,65.6%,165.65,0.2%,转股中,4.66年,2.66年,4.0%,6.6%,1.5,-7.68%,-8.19%,-7.79%,-10.5%,-10.6%,87.87,88.22,77.43,165.65,0.2%,72%,72%,17%,1.0,0.96,1.04,AA-,6.0%,14,东音转债!!
117,苏农转债,113516,苏农银行,603323,金融,107.4,-0.19%,0.28%,5.0,0.20%,4.2,0.3%,5.67,0.8,-11.8%,88.18,21.8%,转股中,4.66年,无权,14.3%,12.6%,12.9,1.53%,0.94%,1.41%,无权,无权,无权,94.17,14.06,108.22,-0.8%,44%,18%,18%,0.45,0.45,0.46,AA+,4.5%,28,苏农转债
118,凯发转债!,123014,凯发电气,300407,能源电力,107.676,0.10%,-0.25%,7.45,-0.27%,0.1,0.1%,8.14,1.8,-8.5%,91.52,17.6%,转股中,3.64年,1.64年,5.1%,4.7%,1.2,0.37%,-0.10%,0.27%,-3.04%,-3.23%,89.41,84.15,21.05,105.2,2.4%,49%,23%,18%,0.57,-0.44,1.59,A+,7.5%,21,凯发转债!
119,凯中转债!,128042,凯中精密,2823,能源电力,99.685,-0.14%,0.11%,8.75,-0.11%,20.0,4.9%,13.01,2.12,-32.7%,67.26,48.2%,转股中,4.65年,2.65年,16.4%,11.0%,4.2,3.55%,2.88%,3.42%,1.32%,1.08%,90.24,93.58,4.44,98.02,1.7%,61%,22%,17%,0.19,-0.31,0.68,AA,5.0%,35,凯中转债!
120,横河转债!,123013,横河模具,300539,机械装备制造,100.321,-0.18%,0.18%,7.12,0.00%,0.2,0.4%,9.22,3.27,-22.8%,77.22,29.9%,转股中,4.64年,2.64年,2.4%,1.9%,0.4,3.26%,2.61%,3.13%,1.37%,1.07%,85.24,83.63,14.52,98.16,2.2%,69%,22%,17%,0.41,-0.71,1.56,A+,7.5%,22,横河转债!
121,高能转债,113515,高能环境,603588,城市公用设施,112.26,-0.04%,0.04%,9.08,0.00%,0.1,0.0%,9.33,2.09,-2.7%,97.32,15.4%,转股中,4.64年,2.64年,11.6%,11.3%,7.1,0.12%,-0.38%,0.02%,-2.91%,-3.14%,90.29,90.44,20.59,111.03,1.1%,52%,19%,16%,0.61,0.12,1.1,AA,5.0%,16,高能转债
122,万顺转债,123012,万顺新材,300057,造纸包装印刷,114.964,0.63%,-1.38%,5.66,-1.05%,0.7,0.5%,5.36,1.14,5.6%,105.6,8.9%,转股中,4.62年,2.62年,3.5%,3.7%,1.3,-0.79%,-1.22%,-0.88%,-3.76%,-3.98%,88.02,85.18,32.3,117.49,-2.1%,39%,16%,18%,0.72,0.79,0.66,AA-,6.0%,19,万顺转债
123,威帝转债,113514,威帝股份,603023,汽车,112.72,4.57%,2.67%,5.04,10.0%,87.0,57.5%,4.85,3.4,3.9%,103.92,8.5%,转股中,3.62年,1.62年,6.0%,6.2%,1.3,-0.40%,-0.96%,-0.52%,-5.53%,-5.72%,89.54,85.81,29.07,114.87,-1.9%,40%,16%,18%,0.72,0.54,0.9,A+,7.5%,41,威帝转债
124,德尔转债!,123011,德尔股份,300473,汽车,113.12,-0.13%,-0.20%,39.23,-0.43%,9.2,1.8%,34.66,2.15,13.2%,113.19,-0.1%,转股中,4.62年,2.62年,10.6%,12.0%,4.5,0.77%,0.11%,0.64%,-3.14%,-3.38%,88.25,89.99,34.72,124.71,-9.3%,35%,<2%,17%,0.76,2.45,-0.72,AA-,6.0%,54,德尔转债!
125,盛路转债!!,128041,盛路通信,2446,通信互联网,145.757,-0.75%,0.06%,10.05,-0.69%,1.1,1.0%,6.85,2.46,46.7%,146.72,-0.7%,转股中,4.62年,2.62年,0.8%,1.2%,0.7,-5.10%,-5.63%,-5.20%,-11.6%,-11.7%,90.49,92.24,54.47,146.72,-0.7%,54%,<2%,16%,1.0,1.14,0.87,AA,5.0%,9,盛路转债!!
126,海澜转债!,110045,海澜之家,600398,服装纺织,99.54,-0.25%,0.18%,7.65,-0.52%,4.1,0.1%,12.02,2.67,-36.4%,63.64,56.4%,转股中,4.60年,2.60年,8.7%,5.6%,29.5,2.55%,2.07%,2.46%,1.08%,0.90%,90.83,91.41,2.81,94.22,5.6%,30%,29%,16%,0.14,-1.03,1.33,AA+,4.5%,37,海澜转债!
127,博世转债!,123010,博世科,300422,城市公用设施,100.93799999999999,0.05%,0.03%,10.0,0.20%,0.5,0.1%,12.38,2.19,-19.2%,80.78,25.0%,转股中,4.58年,2.58年,12.1%,9.8%,4.3,2.52%,1.99%,2.42%,0.89%,0.64%,88.24,86.92,13.37,100.29,0.6%,66%,19%,17%,0.42,-0.12,0.96,AA-,6.0%,42,博世转债!
128,湖广转债!,127007,湖北广电,665,传媒娱乐,107.333,0.16%,-0.16%,4.83,0.00%,5.0,0.4%,5.61,0.71,-13.9%,86.1,24.7%,转股中,4.56年,2.56年,28.3%,24.4%,13.2,1.18%,0.65%,1.07%,-1.30%,-1.55%,92.00,92.93,12.55,105.47,1.8%,39%,21%,17%,0.44,-0.09,0.96,AA+,4.5%,21,湖广转债!
129,广电转债!,110044,广电网络,600831,传媒娱乐,127.83,0.14%,-0.52%,8.39,-0.47%,2.5,2.4%,6.9,1.55,21.6%,121.59,5.1%,转股中,4.56年,2.56年,1.4%,1.7%,0.8,-2.74%,-3.23%,-2.83%,-7.55%,-7.76%,90.64,90.79,39.87,130.66,-2.2%,46%,14%,17%,0.81,1.09,0.55,AA,5.0%,8,广电转债!
130,千禾转债!,113511,千禾味业,603027,食品饮料,119.48,-0.40%,-0.06%,20.79,-0.57%,1.0,0.5%,18.31,6.55,13.5%,113.54,5.2%,转股中,4.54年,2.54年,1.9%,2.2%,1.9,-1.28%,-1.78%,-1.38%,-5.28%,-5.49%,88.35,87.03,36.08,123.11,-3.0%,60%,12%,16%,0.8,1.06,0.56,AA-,6.0%,32,千禾转债!
131,再升转债!,113510,再升科技,603601,城市公用设施,103.95,-0.23%,0.32%,6.71,0.45%,0.0,0.0%,8.59,3.46,-21.9%,78.11,33.1%,转股中,4.54年,0.54年,2.4%,1.9%,1.1,1.87%,1.34%,1.77%,-4.32%,-4.52%,96.71,87.14,12.94,100.08,3.9%,65%,26%,17%,0.21,-0.59,1.01,AA-,6.0%,29,再升转债!
132,华通转债!,128040,华通医药,2758,医药,105.988,0.18%,-0.65%,10.14,-0.88%,2.8,1.2%,11.37,3.38,-10.8%,89.18,18.8%,转股中,4.52年,2.52年,10.4%,9.3%,2.2,1.43%,0.90%,1.33%,-0.92%,-1.17%,88.53,87.21,19.14,106.36,-0.3%,51%,19%,18%,0.53,0.16,0.91,AA-,6.0%,48,华通转债!
133,三力转债!,128039,三 力 士,2224,机械装备制造,106.78200000000001,0.65%,0.04%,5.73,1.06%,7.2,2.6%,5.83,1.88,-1.7%,98.28,8.6%,转股中,4.51年,2.51年,6.3%,6.2%,2.6,0.73%,0.31%,0.65%,-1.33%,-1.55%,88.30,85.24,25.59,110.83,-3.7%,39%,13%,17%,0.66,1.02,0.33,AA-,6.0%,21,三力转债!
134,新泉转债!,113509,新泉股份,603179,汽车,112.5,1.94%,1.79%,18.22,6.24%,2.2,0.4%,18.89,2.73,-3.5%,96.45,16.6%,转股中,4.50年,2.50年,10.9%,10.5%,4.5,-0.34%,-0.79%,-0.43%,-3.18%,-3.41%,90.82,89.37,21.03,110.4,1.9%,52%,21%,17%,0.6,-0.01,1.21,AA,5.0%,16,新泉转债!
135,新凤转债!,113508,新凤鸣,603225,服装纺织,104.56,-0.78%,0.81%,11.59,0.17%,3.3,0.1%,16.83,1.57,-31.1%,68.87,51.8%,转股中,4.39年,2.39年,15.6%,10.7%,21.5,1.78%,1.23%,1.67%,-0.48%,-0.73%,91.29,91.45,4.58,96.02,8.9%,50%,33%,16%,0.2,-1.59,2.08,AA,5.0%,24,新凤转债!
136,金农转债!!,128036,金新农,2548,农业,108.41799999999999,0.09%,-0.09%,8.61,-0.23%,0.4,0.3%,9.62,2.22,-10.5%,89.5,21.1%,转股中,4.26年,2.26年,3.9%,3.5%,1.5,0.54%,0.07%,0.45%,-1.96%,-2.22%,89.91,87.01,13.12,100.13,8.3%,42%,>100%,17%,0.02,-1.49,1.58,AA-,6.0%,19,金农转债!!
137,利欧转债!!,128038,利欧股份,2131,传媒娱乐,130.52,-0.67%,-0.65%,2.24,-1.32%,8.7,3.9%,1.72,1.84,30.2%,130.23,0.2%,转股中,4.29年,2.29年,1.1%,1.5%,1.7,-3.20%,-3.75%,-3.31%,-9.14%,-9.37%,91.72,92.69,37.55,130.23,0.2%,81%,79%,16%,1.0,0.95,1.04,AA,5.0%,31,利欧转债!!
138,岩土转债!,128037,中化岩土,2542,建筑,95.167,0.25%,-0.25%,3.63,-0.55%,3.4,0.6%,8.01,1.7,-54.7%,45.32,110%,转股中,4.28年,2.28年,9.2%,4.1%,6.0,4.14%,3.56%,4.03%,3.45%,3.17%,91.81,91.96,0.56,92.52,2.9%,44%,33%,16%,0.01,-0.55,0.56,AA,5.0%,52,岩土转债!
