序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度,转债名称.1
69,苏银转债,110053,江苏银行,600919,金融,110.36,0.09%,-0.16%,6.99,-0.14%,23.0,0.1%,7.56,0.75,-7.5%,92.46,19.4%,转股中,5.28年,无权,24.8%,22.9%,200.0,1.53%,0.88%,1.40%,无权,无权,无权,97.56,16.84,114.39,-3.5%,19%,14%,18%,0.49,1.12,-0.09,AAA,4.0%,63,苏银转债
70,浙商转债!,113022,浙商证券,601878,金融,106.11,-0.18%,0.18%,8.51,0.00%,2.3,0.1%,12.46,2.01,-31.7%,68.3,55.4%,转股中,5.27年,无权,12.3%,8.4%,35.0,0.70%,0.34%,0.63%,无权,无权,无权,89.81,6.24,96.06,10.5%,46%,36%,18%,0.26,-1.73,2.36,AAA,4.0%,36,浙商转债!
71,视源转债,128059,视源股份,2841,电子,120.861,-0.03%,-0.44%,83.97,-0.63%,1.5,0.1%,75.72,12.18,10.9%,110.9,9.0%,转股中,5.27年,3.27年,1.7%,1.9%,9.4,-1.07%,-1.55%,-1.17%,-4.38%,-4.58%,87.96,88.88,32.93,121.81,-0.8%,52%,15%,16%,0.75,0.65,0.85,AA,5.0%,18,视源转债
72,中鼎转2!,127011,中鼎股份,887,汽车,106.98899999999999,0.21%,0.10%,8.26,1.23%,3.0,0.2%,11.79,1.17,-29.9%,70.06,52.7%,转股中,5.26年,3.26年,11.9%,8.3%,12.0,1.53%,0.99%,1.42%,-0.82%,-1.05%,89.65,92.28,6.22,98.5,8.6%,35%,32%,17%,0.25,-1.49,2.06,AA+,4.5%,20,中鼎转2!
73,拓邦转债,128058,拓邦股份,2139,电子,112.214,0.35%,-0.06%,5.09,0.59%,0.9,0.1%,5.54,2.21,-8.1%,91.88,22.1%,转股中,5.26年,3.26年,11.0%,10.1%,5.7,1.80%,1.05%,1.65%,-1.97%,-2.24%,88.98,95.79,16.33,112.12,0.1%,54%,17%,16%,0.49,0.13,0.84,AA,5.0%,27,拓邦转债
74,博彦转债,128057,博彦科技,2649,计算机及应用,110.402,0.05%,-0.50%,8.83,-0.67%,2.4,0.4%,8.81,1.77,0.2%,100.23,10.2%,转股中,5.25年,3.25年,12.3%,12.4%,5.7,1.24%,0.64%,1.12%,-1.73%,-1.95%,85.55,87.22,27.11,114.33,-3.4%,75%,11%,16%,0.68,0.86,0.51,AA-,6.0%,55,博彦转债
75,贵广转债,110052,贵广网络,600996,传媒娱乐,112.64,-0.16%,-0.11%,7.53,-0.53%,6.2,0.4%,8.04,1.75,-6.3%,93.66,20.3%,转股中,5.25年,3.25年,19.3%,18.1%,15.3,1.08%,0.44%,0.95%,-2.25%,-2.48%,89.95,94.96,16.75,111.71,0.8%,44%,18%,16%,0.51,0.14,0.89,AA+,4.5%,26,贵广转债
76,万信转2!,123021,万达信息,300168,计算机及应用,124.0,3.75%,0.93%,16.64,5.85%,155.0,19.6%,13.6,5.05,22.4%,122.35,1.3%,转股中,5.25年,3.25年,3.4%,4.2%,6.5,-0.91%,-1.51%,-1.03%,-5.13%,-5.32%,88.04,92.06,40.14,132.2,-6.2%,49%,<2%,16%,0.8,1.94,-0.22,AA,5.0%,32,万信转2!
77,中信转债,113021,中信银行,601998,金融,107.7,-0.19%,0.06%,5.94,-0.34%,5.6,0.0%,7.22,0.67,-17.7%,82.27,30.9%,转股中,5.25年,无权,13.8%,11.3%,400.0,1.99%,1.33%,1.86%,无权,无权,无权,97.51,10.28,107.78,-0.1%,23%,18%,17%,0.36,0.29,0.44,AAA,4.0%,51,中信转债
78,富祥转债,123020,富祥股份,300497,医药,117.212,-0.56%,-0.06%,17.28,-0.80%,0.3,0.1%,14.93,3.69,15.7%,115.74,1.3%,转股中,5.24年,3.24年,8.0%,9.3%,3.8,0.64%,-0.06%,0.50%,-3.38%,-3.61%,85.90,89.92,37.74,127.67,-8.2%,57%,<2%,16%,0.78,2.17,-0.45,AA-,6.0%,36,富祥转债
79,长城转债!,113528,长城科技,603897,机械装备制造,97.47,0.19%,-0.19%,17.27,0.00%,0.1,0.0%,24.03,1.74,-28.1%,71.87,35.6%,转股中,5.24年,3.24年,20.6%,14.8%,6.3,3.83%,3.18%,3.70%,2.08%,1.81%,85.89,87.7,9.75,97.44,0.0%,47%,18%,17%,0.32,-0.17,0.8,AA-,6.0%,41,长城转债!
80,今飞转债!,128056,今飞凯达,2863,汽车,97.18799999999999,0.10%,0.16%,5.34,0.56%,1.3,0.4%,6.78,2.02,-21.2%,78.76,23.4%,转股中,5.23年,3.23年,18.3%,14.4%,3.7,4.49%,3.73%,4.34%,2.27%,1.98%,82.23,84.11,17.02,101.13,-3.9%,65%,13%,17%,0.46,0.27,0.65,A+,7.5%,56,今飞转债!
81,中天转债!,110051,中天科技,600522,通信互联网,103.95,-0.38%,0.21%,8.0,-0.50%,7.6,0.2%,10.19,1.22,-21.5%,78.51,32.4%,转股中,5.23年,3.23年,16.2%,12.7%,39.7,1.87%,1.36%,1.77%,-0.04%,-0.26%,89.52,91.21,9.46,100.68,3.3%,34%,22%,16%,0.36,-0.46,1.18,AA+,4.5%,32,中天转债!
82,长青转2,128055,长青股份,2391,石油天然气化工,114.73700000000001,-0.66%,-0.30%,7.73,-1.40%,0.5,0.0%,7.41,1.28,4.3%,104.32,10.0%,转股中,5.23年,3.23年,21.9%,22.9%,9.1,0.13%,-0.40%,0.02%,-2.88%,-3.10%,88.30,89.99,27.26,117.25,-2.1%,41%,13%,16%,0.69,0.81,0.58,AA,5.0%,29,长青转2
83,中来转债!,123019,中来股份,300393,能源电力,111.2,0.27%,-0.41%,13.76,-0.22%,3.4,0.3%,13.29,1.86,3.5%,103.54,7.4%,转股中,5.23年,3.23年,20.2%,21.0%,10.0,2.30%,1.48%,2.14%,-1.75%,-2.01%,86.25,92.8,28.59,121.4,-8.4%,50%,6%,18%,0.63,1.92,-0.51,AA-,6.0%,55,中来转债!
84,中宠转债!,128054,中宠股份,2891,农业,115.598,-0.55%,-0.08%,23.5,-0.80%,0.3,0.1%,22.28,4.8,5.5%,105.48,9.6%,转股中,5.20年,3.20年,4.9%,5.1%,1.9,0.00%,-0.53%,-0.11%,-3.14%,-3.36%,81.71,80.04,37.45,117.48,-1.6%,58%,15%,16%,0.79,0.38,1.2,A+,7.5%,27,中宠转债!
85,尚荣转债,128053,尚荣医疗,2551,医药,101.586,-0.31%,0.19%,4.27,-0.23%,3.0,0.4%,4.89,1.29,-12.7%,87.32,16.3%,转股中,5.20年,3.20年,24.9%,21.7%,7.5,2.52%,1.97%,2.41%,0.65%,0.43%,88.26,89.95,15.4,105.35,-3.6%,41%,12%,16%,0.49,0.9,0.12,AA,5.0%,67,尚荣转债
86,维格转债!,113527,锦泓集团,603518,服装纺织,90.96,0.07%,-0.23%,6.63,-1.04%,1.7,0.3%,10.52,0.7,-37.0%,63.02,44.3%,转股中,5年50天,3年50天,44.6%,28.1%,7.5,5.79%,5.04%,5.64%,4.20%,3.94%,88.73,94.45,4.15,98.61,-7.8%,42%,<2%,18%,0.16,1.67,-1.18,AA,5.0%,74,维格转债!
87,联泰转债!,113526,联泰环保,603797,城市公用设施,127.98,-0.21%,-0.26%,10.61,-0.47%,0.2,0.1%,8.72,2.55,21.7%,121.67,5.2%,转股中,5年49天,3年49天,6.5%,7.9%,2.2,-2.77%,-3.14%,-2.84%,-6.25%,-6.44%,88.32,86.91,34.76,121.67,5.2%,54%,>100%,18%,1.0,-0.03,2.04,AA,5.0%,17,联泰转债!
88,凯龙转债!,128052,凯龙股份,2783,石油天然气化工,174.25,2.74%,3.31%,11.58,6.04%,177.0,125%,6.77,2.52,71.0%,171.05,1.9%,转股中,5年16天,3年16天,1.9%,3.3%,0.8,-7.97%,-8.45%,-8.07%,-14.6%,-14.8%,89.10,90.81,80.24,171.05,1.9%,81%,>100%,17%,1.0,0.61,1.37,AA,5.0%,18,凯龙转债!
89,溢利转债,123018,溢多利,300381,医药,112.001,0.00%,0.08%,8.56,0.12%,0.1,0.0%,8.35,1.61,2.5%,102.51,9.3%,转股中,5年15天,3年15天,10.3%,10.6%,3.9,0.59%,0.04%,0.48%,-2.37%,-2.59%,86.29,86.5,29.56,116.06,-3.5%,39%,13%,17%,0.7,0.91,0.51,AA-,6.0%,26,溢利转债
90,佳都转债!,110050,佳都科技,600728,计算机及应用,120.64,-0.22%,0.04%,8.88,-0.22%,0.4,0.0%,7.89,3.13,12.5%,112.55,7.2%,转股中,5年14天,3年14天,4.5%,5.0%,6.6,-1.09%,-1.59%,-1.19%,-4.63%,-4.84%,88.93,89.86,33.34,123.2,-2.1%,43%,14%,16%,0.76,0.95,0.59,AA,5.0%,18,佳都转债!
91,海尔转债!,110049,海尔智家,600690,家电,119.52,0.67%,-0.31%,16.99,0.35%,123.0,4.7%,14.2,2.46,19.6%,119.65,-0.1%,转股中,5年13天,3年13天,2.0%,2.4%,22.1,-1.66%,-2.02%,-1.74%,-4.43%,-4.62%,91.38,90.63,29.02,119.65,-0.1%,32%,<2%,16%,1.0,1.02,0.98,AAA,4.0%,26,海尔转债!
92,台华转债!,113525,台华新材,603055,服装纺织,103.54,-0.25%,0.25%,6.68,0.00%,0.0,0.0%,8.11,1.98,-17.6%,82.37,25.7%,转股中,5年12天,3年12天,10.3%,8.5%,5.3,2.21%,1.64%,2.09%,0.08%,-0.15%,88.95,90.67,12.75,103.42,0.1%,49%,19%,17%,0.42,0.08,0.77,AA,5.0%,13,台华转债!
93,奇精转债!,113524,奇精机械,603677,家电,101.7,0.04%,0.23%,12.2,0.66%,0.3,0.1%,14.56,2.4,-16.2%,83.79,21.4%,转股中,5年9天,3年9天,14.0%,11.7%,3.3,3.12%,2.45%,2.99%,0.65%,0.41%,88.99,93.05,13.41,106.46,-4.5%,56%,13%,18%,0.42,1.03,-0.14,AA,5.0%,46,奇精转债!
94,光华转债!,128051,光华科技,2741,电子,103.37700000000001,0.07%,-0.07%,11.04,0.00%,0.1,0.0%,12.72,3.42,-13.2%,86.79,19.1%,转股中,5年9天,3年9天,6.1%,5.3%,2.5,2.38%,1.79%,2.26%,0.29%,0.03%,86.84,87.18,18.32,105.5,-2.0%,37%,15%,17%,0.52,0.37,0.68,AA-,6.0%,25,光华转债!
95,钧达转债!,128050,钧达股份,2865,汽车,97.594,0.19%,-0.16%,14.76,0.14%,0.5,0.1%,21.66,2.18,-31.9%,68.14,43.2%,转股中,5年5.5天,3年5.5天,17.9%,12.2%,3.2,5.03%,4.17%,4.86%,2.19%,1.90%,87.02,93.33,6.83,100.16,-2.6%,62%,14%,18%,0.22,0.37,0.09,AA-,6.0%,62,钧达转债!
96,伟明转债!,113523,伟明环保,603568,城市公用设施,124.25,0.01%,-0.08%,21.3,-0.09%,0.4,0.1%,17.47,5.42,21.9%,121.92,1.9%,转股中,5年5.5天,3年5.5天,1.6%,2.0%,3.2,-1.51%,-2.04%,-1.61%,-5.55%,-5.76%,89.04,90.75,40.36,131.11,-5.2%,40%,<2%,16%,0.81,1.77,-0.05,AA,5.0%,22,伟明转债!
97,福能转债,110048,福能股份,600483,能源电力,118.0,-0.31%,0.16%,8.86,-0.23%,0.3,0.0%,8.48,1.16,4.5%,104.48,12.9%,转股中,5年2.5天,3年2.5天,20.6%,21.5%,28.3,-0.65%,-1.15%,-0.75%,-4.00%,-4.22%,90.42,92.13,25.04,117.17,0.7%,28%,18%,16%,0.66,0.32,1.0,AA+,4.5%,11,福能转债
98,华源转债!,128049,华源控股,2787,造纸包装印刷,99.13,0.03%,-0.03%,6.34,0.00%,0.6,0.2%,7.52,1.4,-15.7%,84.31,17.6%,转股中,4.98年,2.98年,20.3%,17.1%,4.0,3.12%,2.55%,3.01%,1.40%,1.18%,86.33,86.67,17.31,103.98,-4.7%,66%,13%,18%,0.48,0.9,0.11,AA-,6.0%,52,华源转债!
99,旭升转债!,113522,旭升股份,603305,汽车,117.2,0.00%,-0.04%,30.68,-0.07%,0.2,0.0%,29.6,8.52,3.6%,103.65,13.1%,转股中,4.97年,2.97年,3.4%,3.5%,4.2,0.47%,-0.22%,0.33%,-3.95%,-4.15%,88.85,94.49,23.31,117.8,-0.5%,59%,16%,16%,0.63,0.44,0.81,AA,5.0%,24,旭升转债!
100,山鹰转债,110047,山鹰纸业,600567,造纸包装印刷,112.41,-0.52%,0.03%,3.22,-0.92%,1.7,0.1%,3.34,1.06,-3.6%,96.41,16.6%,转股中,4.97年,2.97年,15.6%,15.0%,23.0,1.02%,0.37%,0.89%,-2.64%,-2.85%,90.22,95.29,17.57,112.86,-0.4%,29%,16%,16%,0.54,0.4,0.68,AA+,4.5%,46,山鹰转债
101,寒锐转债!,123017,寒锐钴业,300618,有色金属,128.11,1.31%,2.30%,67.43,4.30%,22.0,4.0%,57.49,11.28,17.3%,117.29,9.2%,转股中,4.96年,2.96年,2.4%,2.8%,4.4,-2.93%,-3.31%,-3.01%,-6.69%,-6.88%,86.21,83.42,42.3,125.72,1.9%,76%,24%,16%,0.84,0.16,1.52,AA-,6.0%,25,寒锐转债!
102,圆通转债,110046,圆通速递,600233,交通运输,120.93,-0.27%,0.33%,12.49,0.08%,8.3,0.2%,10.73,2.97,16.4%,116.4,3.9%,转股中,4.96年,2.96年,10.0%,11.6%,35.4,-1.01%,-1.54%,-1.12%,-4.87%,-5.07%,90.39,92.91,33.63,126.55,-4.4%,38%,10%,16%,0.76,1.56,0.04,AA+,4.5%,27,圆通转债
103,桐昆转债!,113020,桐昆股份,601233,服装纺织,118.78,0.24%,-0.19%,12.81,0.08%,0.8,0.0%,12.51,1.32,2.4%,102.4,16.0%,转股中,4.96年,2.96年,14.7%,15.0%,34.8,-1.05%,-1.51%,-1.15%,-4.40%,-4.59%,90.12,91.03,23.82,114.85,3.4%,49%,22%,16%,0.66,-0.22,1.54,AA+,4.5%,20,桐昆转债!
104,特发转债!,127008,特发信息,70,通信互联网,184.19,-0.22%,-0.16%,10.35,-0.38%,7.6,5.4%,5.61,3.16,84.5%,184.49,-0.2%,转股中,3.95年,1.95年,0.9%,1.7%,0.8,-12.1%,-12.6%,-12.2%,-18.5%,-18.6%,91.89,91.84,92.65,184.49,-0.2%,65%,<2%,17%,1.0,1.03,0.97,AA,5.0%,20,特发转债!
105,科森转债!,113521,科森科技,603626,通信互联网,104.51,-0.36%,-0.37%,8.01,-1.35%,0.5,0.1%,8.7,2.07,-7.9%,92.07,13.5%,转股中,4.95年,2.95年,18.4%,17.0%,6.1,2.02%,1.46%,1.91%,-0.30%,-0.52%,89.05,90.9,19.14,110.04,-5.0%,59%,12%,18%,0.54,1.27,-0.12,AA,5.0%,60,科森转债!
106,张行转债,128048,张家港行,2839,金融,110.281,-0.19%,0.00%,5.59,-0.36%,0.0,0.0%,5.91,1.02,-5.4%,94.59,16.6%,转股中,4.94年,无权,24.7%,23.4%,25.0,0.67%,0.16%,0.57%,无权,无权,无权,92.01,19.43,111.44,-1.0%,51%,17%,18%,0.54,0.56,0.54,AA+,4.5%,32,张行转债
107,百合转债,113520,梦百合,603313,其他,130.39,1.32%,1.96%,18.7,3.72%,13.0,2.7%,14.28,3.01,31.0%,130.95,-0.4%,转股中,4.93年,2.93年,6.3%,8.2%,3.8,-2.53%,-3.05%,-2.63%,-7.24%,-7.43%,86.59,86.93,51.9,138.83,-6.1%,40%,<2%,16%,0.88,1.96,-0.09,AA-,6.0%,14,百合转债
108,洲明转债,123016,洲明科技,300232,电子,116.52,1.35%,0.38%,8.27,2.35%,0.2,0.0%,7.82,2.85,5.8%,105.75,10.2%,转股中,4.93年,2.93年,6.2%,6.5%,4.7,-0.22%,-0.77%,-0.33%,-3.70%,-3.93%,86.85,87.06,30.77,117.83,-1.1%,45%,16%,16%,0.73,0.49,0.98,AA-,6.0%,17,洲明转债
109,长久转债,113519,长久物流,603569,交通运输,108.31,0.06%,-0.15%,10.18,-0.20%,0.1,0.0%,11.85,2.37,-14.1%,85.91,26.1%,转股中,4.93年,2.93年,12.2%,10.5%,7.0,2.16%,1.44%,2.02%,-1.44%,-1.66%,89.22,94.87,12.85,107.72,0.5%,46%,19%,17%,0.41,-0.0,0.83,AA,5.0%,19,长久转债
110,利尔转债!,128046,利尔化学,2258,石油天然气化工,102.9,-0.02%,-0.11%,11.33,-0.96%,0.1,0.0%,18.62,1.93,-39.2%,60.85,69.1%,转股中,4.87年,2.87年,14.3%,8.7%,8.5,1.96%,1.46%,1.86%,0.16%,-0.06%,89.28,89.43,2.99,92.42,11.3%,40%,38%,16%,0.13,-2.01,2.43,AA,5.0%,13,利尔转债!
111,顾家转债,113518,顾家家居,603816,其他,120.12,-0.23%,-0.04%,39.76,-0.38%,0.3,0.0%,36.57,4.69,8.7%,108.72,10.5%,转股中,4.77年,2.77年,4.6%,5.0%,11.0,-0.94%,-1.49%,-1.05%,-5.01%,-5.22%,89.70,91.43,28.61,120.04,0.1%,42%,17%,16%,0.71,0.45,0.97,AA,5.0%,14,顾家转债
112,机电转债!,128045,中航机电,2013,航空航天,112.999,-0.35%,1.55%,6.64,2.63%,3.5,0.1%,7.63,2.58,-13.0%,87.02,29.8%,转股中,4.73年,2.73年,8.8%,7.6%,21.0,-0.62%,-1.00%,-0.69%,-3.08%,-3.29%,92.30,91.53,12.57,104.1,8.5%,46%,32%,16%,0.45,-1.2,2.18,AAA,4.0%,14,机电转债!
113,岭南转债!,128044,岭南股份,2717,城市公用设施,98.99,-0.01%,0.14%,4.4,0.46%,19.0,2.9%,5.92,1.46,-25.7%,74.32,33.2%,转股中,4.69年,2.69年,9.7%,7.2%,6.6,2.68%,2.19%,2.58%,1.51%,1.28%,89.95,89.31,7.77,97.08,2.0%,64%,21%,16%,0.3,-0.29,0.88,AA,5.0%,40,岭南转债!
114,蓝盾转债!!,123015,蓝盾股份,300297,计算机及应用,110.70100000000001,0.19%,-0.21%,5.34,-0.37%,0.2,0.2%,5.79,1.35,-7.8%,92.23,20.0%,转股中,4.69年,2.69年,1.5%,1.4%,1.0,0.43%,-0.07%,0.33%,-2.38%,-2.60%,90.06,90.21,10.05,100.26,10.4%,40%,>100%,16%,0.06,-1.79,1.99,AA,5.0%,20,蓝盾转债!!
115,曙光转债!,113517,中科曙光,603019,计算机及应用,114.13,0.13%,0.29%,34.25,0.74%,3.3,0.3%,36.53,8.06,-6.2%,93.76,21.7%,转股中,4.67年,2.67年,3.6%,3.4%,11.2,-0.24%,-0.74%,-0.34%,-3.45%,-3.67%,90.14,90.29,18.39,108.68,5.0%,54%,25%,16%,0.57,-0.71,1.88,AA,5.0%,12,曙光转债!
116,东音转债!!,128043,东音股份,2793,机械装备制造,167.27599999999998,-1.20%,-0.51%,10.94,-1.71%,6.0,2.3%,6.55,4.09,67.0%,167.02,0.2%,转股中,4.66年,2.66年,3.9%,6.6%,1.5,-7.83%,-8.34%,-7.94%,-10.6%,-10.7%,87.86,88.21,78.82,167.02,0.2%,72%,<2%,17%,1.0,0.97,1.03,AA-,6.0%,15,东音转债!!
117,苏农转债,113516,苏农银行,603323,金融,107.61,0.01%,0.08%,5.0,0.20%,0.2,0.0%,5.67,0.8,-11.8%,88.18,22.0%,转股中,4.66年,无权,14.3%,12.6%,12.9,1.48%,0.89%,1.37%,无权,无权,无权,94.16,14.06,108.22,-0.6%,45%,18%,18%,0.45,0.4,0.5,AA+,4.5%,28,苏农转债
118,凯发转债!,123014,凯发电气,300407,能源电力,107.37,-0.18%,0.11%,7.46,-0.13%,0.1,0.1%,8.14,1.8,-8.4%,91.65,17.2%,转股中,3.65年,1.65年,5.1%,4.7%,1.2,0.45%,-0.02%,0.35%,-2.88%,-3.08%,89.40,84.13,21.15,105.29,2.0%,49%,23%,18%,0.57,-0.37,1.52,A+,7.5%,21,凯发转债!
119,凯中转债!,128042,凯中精密,2823,能源电力,100.0,0.18%,-0.24%,8.73,-0.34%,17.0,4.0%,13.01,2.11,-32.9%,67.1,49.0%,转股中,4.65年,2.65年,16.5%,11.0%,4.2,3.48%,2.81%,3.34%,1.20%,0.96%,90.23,93.57,4.39,97.96,2.1%,61%,22%,17%,0.18,-0.39,0.75,AA,5.0%,36,凯中转债!
120,横河转债!,123013,横河模具,300539,机械装备制造,100.351,-0.15%,-0.08%,7.08,-0.56%,0.1,0.3%,9.22,3.25,-23.2%,76.79,30.7%,转股中,4.64年,2.64年,2.4%,1.9%,0.4,3.25%,2.60%,3.12%,1.35%,1.06%,85.23,83.62,14.26,97.88,2.5%,69%,22%,17%,0.41,-0.77,1.61,A+,7.5%,22,横河转债!
121,高能转债,113515,高能环境,603588,城市公用设施,112.4,0.09%,-0.42%,9.03,-0.55%,0.0,0.0%,9.33,2.08,-3.2%,96.78,16.1%,转股中,4.64年,2.64年,11.6%,11.3%,7.1,0.10%,-0.41%,-0.00%,-2.95%,-3.18%,90.28,90.43,20.25,110.68,1.6%,52%,19%,16%,0.6,0.02,1.19,AA,5.0%,17,高能转债
122,万顺转债,123012,万顺新材,300057,造纸包装印刷,114.501,0.22%,-1.10%,5.65,-1.22%,0.5,0.3%,5.36,1.14,5.4%,105.41,8.6%,转股中,4.63年,2.63年,3.5%,3.7%,1.3,-0.70%,-1.13%,-0.79%,-3.62%,-3.84%,88.01,85.17,32.17,117.35,-2.4%,38%,13%,18%,0.72,0.85,0.61,AA-,6.0%,20,万顺转债
123,威帝转债,113514,威帝股份,603023,汽车,111.93,3.84%,3.40%,5.04,10.0%,47.0,31.4%,4.85,3.4,3.9%,103.92,7.7%,转股中,3.63年,1.63年,6.0%,6.2%,1.3,-0.21%,-0.77%,-0.32%,-5.15%,-5.34%,89.52,85.79,29.08,114.87,-2.6%,40%,19%,18%,0.72,0.69,0.76,A+,7.5%,41,威帝转债
124,德尔转债!,123011,德尔股份,300473,汽车,113.23200000000001,-0.03%,0.03%,39.4,0.00%,5.0,1.0%,34.66,2.16,13.7%,113.68,-0.4%,转股中,4.62年,2.62年,10.6%,12.0%,4.5,0.74%,0.09%,0.61%,-3.17%,-3.41%,88.23,89.98,35.14,125.11,-9.5%,35%,<2%,17%,0.76,2.5,-0.76,AA-,6.0%,55,德尔转债!
125,盛路转债!!,128041,盛路通信,2446,通信互联网,145.496,-0.93%,-0.55%,9.97,-1.48%,0.7,0.7%,6.85,2.44,45.5%,145.55,-0.0%,转股中,4.62年,2.62年,0.8%,1.2%,0.7,-5.06%,-5.59%,-5.16%,-11.5%,-11.7%,90.48,92.23,53.32,145.55,-0.0%,54%,<2%,16%,1.0,1.01,0.99,AA,5.0%,9,盛路转债!!
126,海澜转债!,110045,海澜之家,600398,服装纺织,99.59,-0.20%,0.13%,7.65,-0.52%,1.2,0.0%,12.02,2.67,-36.4%,63.64,56.5%,转股中,4.61年,2.61年,8.7%,5.6%,29.5,2.54%,2.06%,2.44%,1.06%,0.88%,90.82,91.4,2.81,94.21,5.7%,30%,29%,16%,0.14,-1.04,1.34,AA+,4.5%,37,海澜转债!
127,博世转债!,123010,博世科,300422,城市公用设施,100.999,0.11%,-0.19%,9.96,-0.20%,0.1,0.0%,12.38,2.19,-19.5%,80.45,25.5%,转股中,4.58年,2.58年,12.1%,9.8%,4.3,2.51%,1.98%,2.40%,0.87%,0.62%,88.22,86.91,13.18,100.08,0.9%,66%,19%,17%,0.42,-0.17,1.01,AA-,6.0%,42,博世转债!
128,湖广转债!,127007,湖北广电,665,传媒娱乐,107.0,-0.15%,0.15%,4.83,0.00%,3.2,0.2%,5.61,0.71,-13.9%,86.1,24.3%,转股中,4.57年,2.57年,28.3%,24.4%,13.2,1.25%,0.72%,1.14%,-1.19%,-1.44%,91.99,92.92,12.56,105.47,1.4%,39%,20%,17%,0.44,-0.03,0.9,AA+,4.5%,20,湖广转债!
129,广电转债!,110044,广电网络,600831,传媒娱乐,127.57,-0.06%,-0.42%,8.38,-0.59%,1.9,1.9%,6.9,1.55,21.4%,121.45,5.0%,转股中,4.56年,2.56年,1.4%,1.7%,0.8,-2.69%,-3.18%,-2.79%,-7.47%,-7.68%,90.63,90.78,39.75,130.53,-2.3%,46%,13%,17%,0.81,1.11,0.53,AA,5.0%,8,广电转债!
130,千禾转债!,113511,千禾味业,603027,食品饮料,119.7,-0.22%,0.26%,20.92,0.05%,0.5,0.2%,18.31,6.59,14.3%,114.25,4.8%,转股中,4.54年,2.54年,1.9%,2.2%,1.9,-1.32%,-1.82%,-1.42%,-5.34%,-5.55%,88.34,87.02,36.67,123.69,-3.2%,60%,12%,16%,0.81,1.13,0.51,AA-,6.0%,32,千禾转债!
131,再升转债!,113510,再升科技,603601,城市公用设施,104.11,-0.08%,0.14%,6.7,0.30%,0.0,0.0%,8.59,3.46,-22.0%,78.0,33.5%,转股中,4.54年,0.54年,2.4%,1.9%,1.1,1.84%,1.30%,1.73%,-4.51%,-4.72%,96.70,87.13,12.91,100.04,4.1%,65%,27%,17%,0.21,-0.63,1.05,AA-,6.0%,29,再升转债!
132,华通转债!,128040,华通医药,2758,医药,105.999,0.19%,-0.45%,10.18,-0.49%,1.8,0.8%,11.37,3.39,-10.5%,89.53,18.4%,转股中,4.53年,2.53年,10.4%,9.3%,2.2,1.43%,0.90%,1.33%,-0.93%,-1.17%,88.52,87.2,19.4,106.6,-0.6%,51%,18%,18%,0.54,0.2,0.87,AA-,6.0%,48,华通转债!
133,三力转债!,128039,三 力 士,2224,机械装备制造,105.88799999999999,-0.19%,0.08%,5.66,-0.18%,2.3,0.8%,5.83,1.86,-2.9%,97.08,9.1%,转股中,4.51年,2.51年,6.4%,6.2%,2.6,0.93%,0.50%,0.84%,-1.02%,-1.24%,88.29,85.23,24.69,109.92,-3.7%,39%,13%,17%,0.64,1.01,0.31,AA-,6.0%,20,三力转债!
134,新泉转债!,113509,新泉股份,603179,汽车,111.43,0.97%,0.77%,17.68,3.09%,1.5,0.3%,18.89,2.65,-6.4%,93.59,19.1%,转股中,4.50年,2.50年,11.2%,10.5%,4.5,-0.13%,-0.57%,-0.22%,-2.83%,-3.06%,90.81,89.36,19.15,108.5,2.7%,52%,24%,17%,0.56,-0.22,1.34,AA,5.0%,17,新泉转债!
135,新凤转债!,113508,新凤鸣,603225,服装纺织,105.1,-0.27%,0.30%,11.59,0.17%,2.7,0.1%,16.83,1.57,-31.1%,68.87,52.6%,转股中,4.39年,2.39年,15.6%,10.7%,21.5,1.66%,1.11%,1.55%,-0.68%,-0.93%,91.28,91.44,4.58,96.02,9.5%,50%,34%,16%,0.2,-1.69,2.19,AA,5.0%,24,新凤转债!
136,金农转债!!,128036,金新农,2548,农业,108.4,0.07%,-0.09%,8.53,-1.16%,0.2,0.1%,9.62,2.2,-11.3%,88.67,22.3%,转股中,4.26年,2.26年,4.0%,3.5%,1.5,0.55%,0.07%,0.45%,-1.95%,-2.21%,89.90,87.0,13.12,100.12,8.3%,42%,>100%,17%,0.01,-1.5,1.57,AA-,6.0%,19,金农转债!!
137,利欧转债!!,128038,利欧股份,2131,传媒娱乐,129.972,-1.09%,-0.24%,2.24,-1.32%,4.8,2.2%,1.72,1.84,30.2%,130.23,-0.2%,转股中,4.30年,2.30年,1.1%,1.5%,1.7,-3.12%,-3.67%,-3.23%,-9.02%,-9.24%,91.71,92.68,37.56,130.23,-0.2%,81%,<2%,16%,1.0,1.04,0.96,AA,5.0%,31,利欧转债!!
