序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
192,骆驼转债!,113012,骆驼股份,601311,汽车,110.65,-0.48%,1.46%,10.59,3.93%,31.0,5.5%,108.8,13.29,1.47,79.68,38.9%,转股中,3.21年,1.21年,5.6%,4.4%,5.1,91,-0.54%,-1.05%,-5.44%,-5.78%,95.97,93.36,6.71,100.07,10.6%,35%,37%,16%,0.25,AA,5.0%,16,骆驼转债!
193,光大转债,113011,光大银行,601818,金融,125.25,-0.34%,-0.75%,4.33,-1.59%,369.0,1.0%,109.3,3.97,0.74,109.07,14.8%,转股中,3.19年,无权,13.2%,14.4%,300.0,2273,-4.27%,-4.78%,无权,无权,无权,96.74,21.86,118.6,5.6%,20%,23%,16%,0.69,AAA,4.0%,23,光大转债
194,洪涛转债!,128013,洪涛股份,2325,建筑,97.822,-0.16%,0.16%,3.26,-1.81%,23.0,2.0%,111.3,8.0,1.27,40.75,140%,转股中,2.55年,0.55年,29.5%,12.0%,12.0,41,5.28%,4.41%,5.71%,5.19%,98.30,98.48,0.57,99.05,-1.2%,33%,<2%,16%,0.0,AA,5.0%,87,洪涛转债!
195,海印转债!,127003,海印股份,861,商业零售,104.91,-0.28%,0.00%,2.52,-1.18%,4.5,0.5%,113.3,3.01,1.6,83.72,25.3%,转股中,2.41年,0.41年,16.7%,14.0%,9.4,56,3.30%,2.26%,-5.07%,-5.65%,98.97,100.93,4.23,105.16,-0.2%,28%,17%,16%,0.24,AA,5.0%,72,海印转债!
196,辉丰转债!,128012,辉丰股份,2496,石油天然气化工,99.84100000000001,0.04%,-0.04%,2.87,-2.05%,4.5,0.5%,105.6,7.71,1.46,37.22,168%,转股中,2.28年,0.28年,19.5%,7.3%,8.4,43,2.53%,2.04%,10.3%,8.24%,100.98,89.79,12.14,101.92,-2.0%,42%,<2%,17%,0.0,A+,7.5%,70,辉丰转债!
197,顺昌转债!,128010,澳洋顺昌,2245,交通运输,106.399,0.00%,0.00%,4.43,1.14%,19.0,3.5%,111.2,9.26,2.14,47.84,122%,转股中,2年13天,13天,11.7%,5.6%,5.1,43,2.24%,1.19%,-23.4%,-25.2%,100.88,100.89,0.77,101.67,4.7%,40%,53%,17%,0.0,AA,5.0%,38,顺昌转债!
198,广汽转债!,113009,广汽集团,601238,汽车,116.64,-0.31%,0.34%,12.2,0.16%,19.0,0.7%,109.0,14.41,1.58,84.66,37.8%,转股中,2年13天,13天,2.0%,1.7%,25.0,1249,-3.33%,-4.12%,-69.1%,-70.6%,100.96,100.79,3.06,103.85,12.3%,35%,41%,15%,0.22,AAA,4.0%,13,广汽转债!
199,九州转债!,110034,九州通,600998,医药,108.83,-0.74%,0.67%,13.95,-3.06%,8.8,0.5%,110.4,18.32,1.67,76.15,42.9%,转股中,2年6.1天,6.1天,5.7%,4.4%,15.0,262,0.72%,-0.24%,-27.8%,-31.9%,102.97,101.14,1.46,102.6,6.1%,24%,31%,15%,0.02,AA+,4.5%,34,九州转债!
200,国贸转债!,110033,厦门国贸,600755,交通运输,116.65,-0.81%,-0.13%,7.37,-1.99%,4.8,0.3%,109.7,7.42,1.04,99.33,17.4%,转股中,1.99年,回售中,8.9%,8.8%,12.0,136,-3.06%,-3.93%,回售中,回售中,100.28,101.52,8.41,109.92,6.1%,32%,28%,15%,0.47,AAA,4.0%,19,国贸转债!
201,航信转债!!,110031,航天信息,600271,计算机及应用,124.68,-2.36%,1.24%,23.71,-1.82%,9.7,0.3%,108.5,21.79,3.97,108.81,14.6%,转股中,1.42年,回售中,5.4%,5.9%,24.0,442,-9.38%,-10.4%,回售中,回售中,100.23,102.66,13.03,115.69,7.8%,38%,38%,17%,0.62,AAA,4.0%,15,航信转债!!
202,电气转债!,113008,上海电气,601727,能源电力,117.89,-0.47%,0.01%,5.09,-1.17%,30.0,0.6%,108.1,5.13,1.25,99.22,18.8%,转股中,1年24天,回售中,5.8%,5.7%,45.0,771,-7.89%,-9.17%,回售中,回售中,103.00,104.25,5.06,109.31,7.8%,30%,34%,16%,0.4,AAA,3.5%,19,电气转债!
