序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
96,长青转2,128055,长青股份,2391,石油天然气化工,122.2,-0.92%,-1.02%,8.4,-2.55%,15.0,1.3%,115.5,7.41,1.39,113.36,7.8%,转股中,5年49天,3年49天,20.2%,22.9%,9.1,45,-1.12%,-1.64%,-4.82%,-5.04%,88.71,90.42,33.88,124.29,-1.7%,41%,13%,16%,0.76,AA,5.0%,20,长青转2
97,中来转债!,123019,中来股份,300393,能源电力,124.501,0.46%,1.84%,16.4,2.95%,44.0,3.5%,124.9,13.29,2.22,123.4,0.9%,转股中,5年47天,3年47天,17.0%,21.0%,10.0,59,0.06%,-0.74%,-5.15%,-5.41%,86.74,93.33,43.58,136.91,-9.1%,50%,<2%,18%,0.78,AA-,6.0%,44,中来转债!
98,中宠转债!,128054,中宠股份,2891,农业,123.389,-0.48%,-0.97%,26.12,-1.69%,2.9,1.2%,115.6,22.28,5.33,117.24,5.2%,转股中,5年37天,3年37天,4.4%,5.1%,1.9,44,-1.30%,-1.83%,-5.17%,-5.38%,82.29,80.6,46.6,127.2,-3.0%,58%,<2%,16%,0.86,A+,7.5%,19,中宠转债!
99,尚荣转债,128053,尚荣医疗,2551,医药,107.81,-1.09%,-0.13%,4.64,-2.11%,15.0,1.9%,115.3,4.89,1.4,94.89,13.6%,转股中,5年36天,3年36天,22.9%,21.7%,7.5,33,1.35%,0.81%,-1.17%,-1.39%,88.68,90.38,19.97,110.35,-2.3%,41%,14%,16%,0.58,AA,5.0%,59,尚荣转债
100,维格转债!,113527,锦泓集团,603518,服装纺织,93.82,-0.18%,-0.24%,7.1,-2.07%,17.0,2.4%,120.7,10.52,0.74,67.49,39.0%,转股中,5年15天,3年15天,41.6%,28.1%,7.5,18,5.25%,4.48%,3.32%,3.06%,89.15,94.9,5.49,100.39,-6.5%,41%,<2%,18%,0.2,AA,5.0%,72,维格转债!
101,联泰转债!,113526,联泰环保,603797,城市公用设施,134.7,-2.00%,-0.92%,11.32,-2.92%,2.3,0.8%,111.1,8.72,2.72,129.82,3.8%,转股中,5年14天,3年14天,6.0%,7.7%,2.2,36,-3.82%,-4.19%,-7.93%,-8.12%,88.74,87.33,42.49,129.82,3.8%,53%,95%,18%,1.0,AA,5.0%,12,联泰转债!
102,凯龙转债!,128052,凯龙股份,2783,石油天然气化工,185.419,0.31%,0.17%,12.65,0.48%,41.0,49.9%,115.0,6.77,2.75,186.85,-0.8%,转股中,4.95年,2.95年,0.9%,1.8%,0.5,47,-9.34%,-9.80%,-10.7%,-10.8%,89.02,90.74,96.11,186.85,-0.8%,81%,<2%,17%,1.0,AA,5.0%,13,凯龙转债!
103,溢利转债,123018,溢多利,300381,医药,120.876,-1.04%,-0.18%,9.64,-1.53%,0.6,0.1%,114.9,8.35,1.81,115.45,4.7%,转股中,4.95年,2.95年,9.2%,10.6%,3.9,42,-1.04%,-1.57%,-4.93%,-5.12%,86.38,86.59,39.34,125.92,-4.0%,38%,10%,17%,0.8,AA-,6.0%,19,溢利转债
104,佳都转债!,110050,佳都科技,600728,计算机及应用,129.09,-0.23%,-0.86%,9.84,-1.30%,20.0,2.3%,113.9,7.89,3.46,124.71,3.5%,转股中,4.95年,2.95年,4.0%,5.0%,6.6,164,-2.54%,-3.03%,-6.94%,-7.12%,88.95,89.89,43.12,133.01,-2.9%,43%,<2%,16%,0.84,AA,5.0%,14,佳都转债!
105,台华转债!,113525,台华新材,603055,服装纺织,108.87,-0.58%,-0.31%,6.83,-2.01%,4.6,0.8%,114.9,8.11,2.03,84.22,29.3%,转股中,4.94年,2.94年,10.1%,8.5%,5.3,52,1.12%,0.57%,-1.66%,-1.87%,88.98,90.7,13.5,104.2,4.5%,49%,24%,17%,0.44,AA,5.0%,11,台华转债!
106,奇精转债!,113524,奇精机械,603677,家电,105.21,-0.70%,0.09%,12.58,-1.41%,1.9,0.5%,117.9,14.56,2.48,86.4,21.8%,转股中,4.93年,2.93年,13.5%,11.7%,3.3,24,2.38%,1.72%,-0.56%,-0.78%,89.01,93.09,14.52,107.61,-2.2%,55%,16%,18%,0.43,AA,5.0%,42,奇精转债!
107,光华转债!,128051,光华科技,2741,电子,113.1,-0.90%,-1.11%,12.48,-3.11%,0.9,0.3%,115.5,12.72,3.86,98.11,15.3%,转股中,4.93年,2.93年,5.4%,5.3%,2.5,47,0.44%,-0.13%,-2.75%,-2.98%,86.83,87.18,25.69,112.86,0.2%,38%,17%,17%,0.65,AA-,6.0%,20,光华转债!
108,钧达转债!,128050,钧达股份,2865,汽车,101.6,0.54%,-0.51%,15.9,0.13%,4.0,1.2%,123.5,21.66,2.34,73.41,38.4%,转股中,4.92年,2.92年,16.6%,12.2%,3.2,19,4.13%,3.28%,0.71%,0.47%,86.91,93.26,8.86,102.11,-0.5%,61%,18%,18%,0.28,AA-,6.0%,49,钧达转债!
109,伟明转债!,113523,伟明环保,603568,城市公用设施,140.6,-2.14%,0.04%,24.59,-2.34%,5.1,1.9%,114.9,17.47,6.25,140.76,-0.1%,转股中,4.92年,2.92年,0.8%,1.1%,1.9,235,-4.09%,-4.59%,-9.55%,-9.73%,89.06,90.78,56.72,147.5,-4.7%,40%,<2%,16%,0.9,AA,5.0%,18,伟明转债!
