序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
122,苏农转债,113516,苏农银行,603323,金融,108.12,0.60%,0.24%,5.06,1.81%,5.0,0.4%,115.1,5.67,0.81,89.24,21.2%,转股中,4.63年,无权,14.1%,12.6%,12.9,1.39%,0.79%,1.27%,无权,无权,无权,94.27,14.63,108.9,-0.7%,42%,19%,18%,0.46,AA+,4.5%,29,苏农转债
123,凯发转债!,123014,凯发电气,300407,能源电力,108.166,0.34%,0.44%,7.62,1.33%,1.3,1.0%,109.1,8.14,1.84,93.61,15.5%,转股中,3.62年,1.62年,5.0%,4.7%,1.2,0.24%,-0.23%,0.15%,-3.33%,-3.53%,89.58,84.3,22.24,106.54,1.5%,49%,23%,18%,0.58,A+,7.5%,20,凯发转债!
124,凯中转债!,128042,凯中精密,2823,能源电力,100.41,0.60%,-0.48%,8.56,0.71%,4.0,1.0%,116.9,13.01,2.07,65.8,52.6%,转股中,4.63年,2.63年,16.8%,11.0%,4.2,3.41%,2.73%,3.27%,1.07%,0.82%,90.35,93.69,3.94,97.63,2.8%,61%,24%,17%,0.17,AA,5.0%,34,凯中转债!
125,横河转债!,123013,横河模具,300539,机械装备制造,101.82,0.96%,-0.67%,7.09,0.71%,0.4,1.1%,116.0,9.22,3.25,76.9,32.4%,转股中,4.62年,2.62年,2.4%,1.9%,0.4,2.94%,2.29%,2.81%,0.83%,0.54%,85.40,83.78,14.21,97.99,3.9%,69%,23%,17%,0.41,A+,7.5%,20,横河转债!
126,高能转债,113515,高能环境,603588,城市公用设施,114.97,0.41%,-0.27%,9.32,0.22%,2.3,0.3%,112.9,9.33,2.14,99.89,15.1%,转股中,4.62年,2.62年,11.3%,11.3%,7.1,-0.40%,-0.90%,-0.50%,-3.78%,-4.00%,90.40,90.55,22.35,112.9,1.8%,52%,19%,16%,0.64,AA,5.0%,14,高能转债
127,万顺转债,123012,万顺新材,300057,造纸包装印刷,117.788,-0.01%,0.93%,5.97,1.19%,0.5,0.3%,110.9,5.36,1.2,111.38,5.8%,转股中,4.60年,2.60年,3.3%,3.7%,1.3,-1.33%,-1.75%,-1.41%,-4.64%,-4.86%,88.15,85.31,36.92,122.22,-3.6%,39%,15%,18%,0.77,AA-,6.0%,19,万顺转债
128,威帝转债,113514,威帝股份,603023,汽车,114.29,0.99%,-0.40%,5.47,0.74%,56.0,49.5%,111.1,4.85,3.69,112.78,1.3%,转股中,3.60年,1.60年,4.1%,4.6%,1.0,-0.79%,-1.35%,-0.91%,-6.35%,-6.54%,89.70,85.96,35.85,121.81,-6.2%,42%,<2%,18%,0.8,A+,7.5%,40,威帝转债
129,德尔转债!,123011,德尔股份,300473,汽车,121.35,0.00%,-0.12%,42.01,-0.14%,9.4,2.0%,117.1,34.66,2.3,121.21,0.1%,转股中,4.59年,2.59年,8.6%,10.5%,3.9,-0.79%,-1.43%,-0.92%,-5.63%,-5.86%,88.37,90.12,41.17,131.29,-7.6%,35%,<2%,17%,0.81,AA-,6.0%,51,德尔转债!
130,盛路转债!!,128041,盛路通信,2446,通信互联网,139.564,-6.26%,-3.51%,9.24,-9.77%,4.0,3.8%,115.0,6.85,2.26,134.89,3.5%,转股中,4.59年,2.59年,0.9%,1.2%,0.7,-4.21%,-4.75%,-4.31%,-10.3%,-10.5%,90.60,92.35,42.54,134.89,3.5%,54%,<2%,16%,1.0,AA,5.0%,9,盛路转债!!
131,海澜转债!,110045,海澜之家,600398,服装纺织,99.39,-0.06%,0.18%,7.78,0.78%,3.3,0.1%,111.6,12.02,2.72,64.73,53.6%,转股中,4.58年,2.58年,8.6%,5.6%,29.5,2.60%,2.12%,2.51%,1.14%,0.96%,90.93,91.51,3.04,94.55,5.1%,30%,29%,16%,0.15,AA+,4.5%,38,海澜转债!
132,博世转债!,123010,博世科,300422,城市公用设施,102.90100000000001,-0.07%,1.19%,10.18,2.52%,1.5,0.3%,112.9,12.38,2.23,82.23,25.1%,转股中,4.56年,2.56年,11.9%,9.8%,4.3,2.10%,1.56%,1.99%,0.18%,-0.07%,88.36,87.05,14.17,101.22,1.7%,66%,22%,17%,0.44,AA-,6.0%,39,博世转债!
133,湖广转债!,127007,湖北广电,665,传媒娱乐,107.83,0.29%,-0.10%,4.96,0.40%,17.0,1.2%,113.1,5.61,0.73,88.41,22.0%,转股中,4.54年,2.54年,27.6%,24.4%,13.2,1.08%,0.55%,0.97%,-1.48%,-1.74%,92.10,93.03,13.75,106.78,1.0%,39%,19%,17%,0.47,AA+,4.5%,20,湖广转债!
134,广电转债!,110044,广电网络,600831,传媒娱乐,131.46,0.88%,-0.21%,8.61,0.82%,6.7,6.2%,112.9,6.9,1.59,124.78,5.4%,转股中,4.54年,2.54年,1.3%,1.7%,0.8,-3.36%,-3.85%,-3.46%,-8.58%,-8.79%,90.75,90.9,42.54,133.44,-1.5%,46%,15%,17%,0.83,AA,5.0%,8,广电转债!
135,千禾转债!,113511,千禾味业,603027,食品饮料,122.71,1.75%,0.66%,21.35,2.94%,3.5,1.6%,112.8,18.31,6.72,116.6,5.2%,转股中,4.52年,2.52年,1.9%,2.2%,1.9,-1.88%,-2.38%,-1.98%,-6.27%,-6.48%,88.48,87.16,38.45,125.61,-2.3%,60%,14%,16%,0.82,AA-,6.0%,30,千禾转债!
136,再升转债!,113510,再升科技,603601,城市公用设施,106.75,1.09%,0.03%,7.24,3.28%,0.6,0.5%,112.9,8.59,3.73,84.28,26.7%,转股中,4.51年,0.51年,2.2%,1.9%,1.1,1.27%,0.74%,1.17%,-8.14%,-8.34%,96.86,87.27,15.54,102.81,3.8%,43%,25%,17%,0.34,AA-,6.0%,28,再升转债!
137,华通转债!,128040,华通医药,2758,医药,106.3,0.57%,0.01%,10.11,1.10%,2.4,1.0%,112.9,11.37,3.37,88.92,19.5%,转股中,4.50年,2.50年,10.4%,9.3%,2.2,1.38%,0.84%,1.27%,-1.04%,-1.29%,88.66,87.34,18.85,106.19,0.1%,51%,19%,18%,0.53,AA-,6.0%,47,华通转债!
138,三力转债!,128039,三 力 士,2224,机械装备制造,108.5,0.79%,-0.09%,5.77,1.05%,5.0,1.8%,110.3,5.83,1.9,98.97,9.6%,转股中,4.48年,2.48年,6.3%,6.2%,2.6,0.37%,-0.05%,0.29%,-1.94%,-2.16%,88.43,85.37,25.99,111.36,-2.6%,39%,14%,17%,0.66,AA-,6.0%,21,三力转债!
139,新泉转债!,113509,新泉股份,603179,汽车,117.9,0.02%,0.70%,18.73,1.13%,0.6,0.1%,110.8,18.89,2.81,99.15,18.9%,转股中,4.47年,2.47年,10.6%,10.5%,4.5,-1.41%,-1.84%,-1.49%,-4.93%,-5.15%,90.93,89.47,22.91,112.39,4.9%,52%,27%,17%,0.63,AA,5.0%,16,新泉转债!
140,新凤转债!,113508,新凤鸣,603225,服装纺织,105.86,0.47%,-0.07%,11.74,1.47%,3.4,0.1%,112.8,15.91,1.59,73.79,43.5%,转股中,4.37年,2.37年,13.1%,9.7%,21.5,1.49%,0.95%,1.39%,-0.97%,-1.22%,91.41,91.56,6.33,97.89,8.1%,50%,31%,16%,0.27,AA,5.0%,22,新凤转债!
141,金农转债!!,128036,金新农,2548,农业,106.81700000000001,0.02%,-0.01%,8.3,0.85%,1.3,0.8%,110.9,9.62,2.14,86.28,23.8%,转股中,4.23年,2.23年,4.1%,3.5%,1.5,0.91%,0.43%,0.81%,-1.36%,-1.63%,90.04,87.14,12.98,100.11,6.7%,42%,>100%,17%,0.0,AA-,6.0%,17,金农转债!!
142,利欧转债!!,128038,利欧股份,2131,传媒娱乐,129.00799999999998,-0.92%,0.92%,2.17,0.00%,3.5,1.8%,113.8,1.72,1.78,126.16,2.3%,转股中,4.27年,2.27年,1.1%,1.3%,1.5,-2.95%,-3.50%,-3.06%,-8.80%,-9.02%,91.83,92.8,33.36,126.16,2.3%,81%,87%,16%,1.0,AA,5.0%,29,利欧转债!!
143,岩土转债!,128037,中化岩土,2542,建筑,95.3,0.25%,-0.25%,3.72,0.00%,1.2,0.2%,112.8,8.01,1.74,46.44,105%,转股中,4.25年,2.25年,8.9%,4.1%,6.0,4.13%,3.55%,4.02%,3.43%,3.14%,91.92,92.07,0.55,92.62,2.9%,44%,32%,16%,0.01,AA,5.0%,51,岩土转债!
144,敖东转债!,127006,吉林敖东,623,金融,106.185,0.84%,-0.16%,15.99,2.24%,17.0,0.7%,108.4,20.62,0.86,77.55,36.9%,转股中,4.25年,2.25年,12.9%,10.0%,24.1,0.49%,0.12%,0.42%,-1.64%,-1.80%,91.86,90.17,7.84,98.01,8.3%,29%,29%,16%,0.3,AA+,4.5%,37,敖东转债!
145,长证转债!,127005,长江证券,783,金融,115.73,1.87%,-0.05%,6.53,3.98%,101.0,1.8%,109.7,7.43,1.34,87.89,31.7%,转股中,4.24年,无权,13.8%,12.2%,50.0,-1.28%,-1.69%,-1.36%,无权,无权,无权,93.2,13.04,106.24,8.9%,32%,32%,18%,0.46,AAA,4.0%,26,长证转债!
146,星源转债!,123009,星源材质,300568,汽车,114.416,1.44%,0.63%,26.06,3.41%,3.2,0.6%,110.3,26.64,2.47,97.82,17.0%,转股中,4.23年,2.23年,8.0%,7.8%,4.8,-0.88%,-1.32%,-0.97%,-4.31%,-4.55%,91.79,90.11,20.92,111.03,3.0%,58%,24%,17%,0.61,AA,5.0%,11,星源转债!
147,杭电转债!,113505,杭电股份,603618,能源电力,99.52,0.21%,0.08%,5.32,1.14%,1.9,0.2%,112.8,7.24,1.49,73.48,35.4%,转股中,4.23年,2.23年,20.4%,15.0%,7.5,3.07%,2.49%,2.96%,1.59%,1.31%,92.03,92.18,5.88,98.06,1.5%,40%,20%,16%,0.25,AA,5.0%,43,杭电转债!
148,艾华转债!,113504,艾华集团,603989,电子,114.0,0.85%,0.23%,20.65,1.82%,4.3,0.5%,110.8,21.43,4.04,96.36,18.3%,转股中,4.22年,2.22年,8.6%,8.3%,6.9,-0.69%,-1.15%,-0.78%,-4.09%,-4.35%,92.08,90.61,19.08,109.69,3.9%,38%,23%,16%,0.59,AA,5.0%,17,艾华转债!
149,玲珑转债!,113019,玲珑轮胎,601966,汽车,129.89,0.07%,2.10%,22.3,2.81%,9.7,0.4%,113.0,18.55,2.6,120.22,8.0%,转股中,3.21年,1.21年,7.5%,9.0%,20.0,-4.30%,-4.99%,-4.44%,-15.0%,-15.2%,95.79,98.3,29.01,127.31,2.0%,29%,25%,16%,0.77,AA+,4.5%,12,玲珑转债!
150,大族转债!,128035,大族激光,2008,机械装备制造,111.251,0.63%,-0.50%,38.18,0.74%,15.0,0.6%,108.4,52.3,4.98,73.0,52.4%,转股中,4年53天,2年53天,5.6%,4.1%,23.0,-0.63%,-1.01%,-0.71%,-2.56%,-2.95%,94.71,90.56,7.08,97.64,13.9%,43%,41%,16%,0.18,AA+,4.5%,27,大族转债!
151,无锡转债!,110043,无锡银行,600908,金融,104.21,0.72%,-0.05%,5.38,1.70%,28.0,0.9%,109.6,6.52,0.93,82.52,26.3%,转股中,4年46天,无权,30.2%,24.9%,30.0,1.25%,0.81%,1.16%,无权,无权,无权,91.68,10.64,102.32,1.8%,39%,22%,18%,0.39,AA+,4.5%,54,无锡转债!
152,江银转债!,128034,江阴银行,2807,金融,109.87,2.10%,-1.46%,4.53,1.12%,12.0,0.6%,109.6,4.68,0.9,96.79,13.5%,转股中,4年42天,无权,17.9%,17.3%,17.6,-0.06%,-0.49%,-0.15%,无权,无权,无权,91.73,19.01,110.74,-0.8%,43%,16%,18%,0.57,AA+,4.5%,45,江银转债!
153,道氏转债!!,123007,道氏技术,300409,建筑,103.82,0.73%,0.23%,11.46,3.24%,0.7,0.2%,112.0,15.05,2.25,76.15,36.3%,转股中,4年13天,2年13天,5.8%,4.4%,3.0,1.94%,1.38%,1.83%,-0.12%,-0.44%,91.21,89.04,8.74,97.78,6.2%,61%,29%,16%,0.3,AA-,6.0%,18,道氏转债!!
154,迪龙转债!,128033,雪迪龙,2658,城市公用设施,99.8,0.50%,-0.11%,6.64,1.53%,1.1,0.2%,110.3,8.93,2.03,74.36,34.2%,转股中,4年12天,2年12天,12.9%,9.6%,5.2,2.56%,2.07%,2.46%,1.48%,1.20%,92.66,90.97,7.16,98.13,1.7%,38%,22%,17%,0.26,AA,5.0%,43,迪龙转债!
155,吉视转债!,113017,吉视传媒,601929,传媒娱乐,98.41,0.34%,-0.16%,2.08,0.97%,7.5,0.5%,110.3,2.95,0.96,70.51,39.6%,转股中,4年12天,2年12天,24.1%,17.0%,15.6,2.93%,2.43%,2.83%,2.14%,1.85%,93.63,92.7,4.38,97.07,1.4%,28%,20%,16%,0.18,AA+,4.5%,34,吉视转债!
