序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
1,福特转债,113551,福斯特,603806,能源电力,124.12,2.46%,-1.13%,44.82,1.82%,47.0,3.5%,115.3,41.04,3.94,109.21,13.7%,5月9天,5.93年,3.93年,4.7%,5.1%,11.0,-1.26%,-1.71%,-1.35%,-4.31%,-4.47%,85.16,86.8,34.53,121.33,2.3%,40%,20%,17%,0.73,AA,5.0%,7,福特转债
2,顺丰转债,128080,顺丰控股,2352,交通运输,115.2,0.56%,-0.16%,36.8,0.71%,304.0,4.6%,109.2,40.41,4.09,91.07,26.5%,5月9天,5.93年,3.93年,3.6%,3.3%,58.0,-0.91%,-1.19%,-0.96%,-2.90%,-3.00%,87.11,86.77,18.09,104.85,9.9%,32%,30%,16%,0.55,AAA,4.0%,10,顺丰转债
3,常汽转债,113550,常熟汽饰,603035,汽车,109.55,-0.02%,0.63%,10.2,0.89%,261.0,24.0%,121.8,9.93,1.09,102.72,6.7%,5月9天,5.93年,3.93年,34.7%,35.7%,9.9,1.84%,1.20%,1.71%,-1.11%,-1.33%,82.72,86.89,31.66,118.55,-7.6%,39%,8%,17%,0.68,AA-,6.0%,13,常汽转债
4,白电转债,113549,白云电器,603861,能源电力,103.54,0.04%,0.76%,8.45,1.32%,31.0,3.4%,115.1,8.99,1.64,93.99,10.2%,5月8天,5.92年,3.92年,23.0%,21.7%,8.8,1.83%,1.37%,1.74%,0.01%,-0.16%,85.01,86.65,22.39,109.03,-5.0%,45%,11%,16%,0.6,AA,5.0%,10,白电转债
5,利德转债,123035,利亚德,300296,电子,113.71,-0.18%,0.43%,6.62,0.46%,47.0,5.2%,115.6,7.04,2.02,94.03,20.9%,5月7天,5.92年,3.92年,4.8%,4.5%,8.0,0.28%,-0.19%,0.19%,-2.16%,-2.35%,87.15,89.57,21.24,110.8,2.6%,62%,22%,17%,0.56,AA+,4.5%,12,利德转债
6,川投转债,110061,川投能源,600674,能源电力,116.45,0.63%,-0.63%,9.81,0.00%,50.0,1.1%,111.0,9.92,1.65,98.89,17.8%,5月2天,5.91年,3.91年,9.3%,9.2%,40.0,-0.82%,-1.16%,-0.89%,-2.87%,-3.03%,88.31,88.38,23.46,111.84,4.1%,17%,19%,16%,0.64,AAA,4.0%,13,川投转债
7,通光转债,123034,通光线缆,300265,通信互联网,102.6,0.79%,0.35%,7.71,1.58%,10.0,3.5%,118.5,7.98,2.54,96.62,6.2%,4月25天,5.89年,3.89年,11.4%,11.0%,3.0,2.52%,1.96%,2.41%,0.34%,0.15%,77.81,78.07,33.74,111.81,-8.2%,50%,7%,17%,0.72,A+,7.5%,19,通光转债
8,金力转债,123033,金力永磁,300748,电子,110.18299999999999,-0.74%,-0.50%,42.7,-1.75%,17.0,3.6%,121.9,41.2,15.09,103.64,6.3%,4月24天,5.88年,3.88年,2.5%,2.6%,4.4,1.78%,1.12%,1.65%,-1.10%,-1.35%,83.51,87.29,31.84,119.13,-7.5%,82%,<2%,16%,0.7,AA-,6.0%,13,金力转债
9,石英转债,113548,石英股份,603688,电子,122.06,1.34%,0.87%,17.31,2.97%,13.0,3.0%,124.8,15.25,4.08,113.51,7.5%,4月18天,5.87年,3.87年,6.2%,7.0%,3.6,0.39%,-0.32%,0.25%,-3.76%,-3.97%,82.98,89.29,38.61,127.9,-4.6%,52%,13%,17%,0.74,AA-,6.0%,13,石英转债
10,天路转债,110060,西藏天路,600326,建筑,111.38,1.15%,-0.61%,7.05,0.86%,18.0,1.5%,115.3,7.24,1.79,97.38,14.4%,4月19天,5.87年,3.87年,17.8%,17.3%,10.9,0.60%,0.13%,0.51%,-1.75%,-1.92%,85.40,87.04,24.54,111.59,-0.2%,46%,16%,16%,0.64,AA,5.0%,9,天路转债
11,浦发转债!,110059,浦发银行,600000,金融,105.38,0.53%,0.17%,12.12,1.85%,831.0,1.6%,117.8,15.05,0.74,80.53,30.9%,4月21天,5.87年,无权,14.1%,11.3%,500.0,1.96%,1.41%,1.85%,无权,无权,无权,94.08,11.24,105.33,0.1%,22%,19%,17%,0.38,AAA,4.0%,44,浦发转债!
12,北方转债,127014,北方国际,65,建筑,112.35,0.36%,0.33%,8.29,1.22%,2.5,0.4%,115.6,8.84,1.38,93.78,19.8%,4月17天,5.86年,3.86年,9.1%,8.5%,5.8,0.50%,0.02%,0.40%,-1.90%,-2.09%,87.37,89.79,20.88,110.67,1.5%,49%,20%,17%,0.56,AA+,4.5%,15,北方转债
13,索发转债,113547,索通发展,603612,其他,109.6,0.77%,0.45%,9.99,2.15%,6.9,0.7%,119.1,10.67,1.35,93.63,17.1%,4月17天,5.86年,3.86年,28.1%,26.3%,9.5,1.46%,0.88%,1.34%,-1.21%,-1.41%,86.00,90.03,21.64,111.67,-1.9%,62%,16%,17%,0.57,AA,5.0%,9,索发转债
14,迪贝转债!,113546,迪贝电气,603320,家电,100.1,0.35%,-0.05%,16.24,0.50%,13.0,5.7%,121.1,18.45,2.53,88.02,13.7%,4月16天,5.86年,3.86年,14.2%,12.5%,2.3,3.38%,2.73%,3.25%,1.07%,0.85%,78.35,80.03,27.17,107.19,-6.6%,55%,10%,18%,0.61,A+,7.5%,18,迪贝转债!
15,英联转债,128079,英联股份,2846,造纸包装印刷,109.53,1.41%,0.42%,14.48,2.33%,7.0,3.0%,117.9,13.54,4.43,106.94,2.4%,4月14天,5.85年,3.85年,7.6%,8.1%,2.1,1.29%,0.75%,1.18%,-1.28%,-1.47%,78.05,77.88,42.79,120.67,-9.2%,64%,<2%,18%,0.78,A+,7.5%,23,英联转债
16,太极转债,128078,太极股份,2368,计算机及应用,130.2,0.25%,-0.55%,38.23,-0.36%,13.0,1.0%,117.3,31.61,5.55,120.94,7.7%,4月14天,5.85年,3.85年,6.3%,7.7%,10.0,-1.80%,-2.30%,-1.90%,-5.53%,-5.69%,85.48,88.63,42.14,130.77,-0.4%,45%,16%,16%,0.81,AA,5.0%,14,太极转债
17,华夏转债,128077,华夏航空,2928,交通运输,113.0,0.76%,-0.06%,11.02,1.01%,15.0,1.6%,120.8,10.52,2.72,104.75,7.9%,4月9天,5.84年,3.84年,11.9%,12.5%,7.9,1.17%,0.55%,1.05%,-2.04%,-2.23%,82.69,86.57,33.67,120.24,-6.0%,56%,10%,18%,0.7,AA-,6.0%,21,华夏转债
18,金轮转债,128076,金轮股份,2722,机械装备制造,105.829,0.76%,0.10%,15.0,1.21%,5.6,2.5%,115.3,14.96,1.4,100.27,5.5%,4月7天,5.83年,3.83年,8.1%,8.2%,2.1,1.51%,1.03%,1.41%,-0.49%,-0.67%,82.41,82.61,31.44,114.05,-7.2%,44%,8%,17%,0.71,AA-,6.0%,19,金轮转债
19,金能转债,113545,金能科技,603113,煤炭,106.67,0.31%,0.61%,10.35,1.67%,53.0,3.3%,115.3,11.55,1.28,89.61,19.0%,4月5天,5.83年,3.83年,21.4%,19.2%,15.0,1.37%,0.89%,1.27%,-0.69%,-0.87%,85.56,87.21,19.89,107.1,-0.4%,47%,18%,17%,0.55,AA,5.0%,15,金能转债
20,万里转债!,123032,万里马,300591,服装纺织,100.17299999999999,0.18%,0.47%,5.52,1.47%,3.0,1.6%,132.8,6.92,3.41,79.77,25.6%,4月4天,5.83年,3.83年,10.5%,8.3%,1.8,5.14%,4.17%,4.95%,1.91%,1.52%,81.33,88.48,19.22,107.69,-7.0%,54%,10%,18%,0.44,A+,7.5%,30,万里转债!
21,游族转债!,128074,游族网络,2174,通信互联网,126.0,0.96%,-1.18%,18.46,-0.32%,27.0,1.8%,120.3,17.06,3.09,108.21,16.4%,3月13天,5.78年,3.78年,7.0%,7.6%,11.5,-0.81%,-1.41%,-0.93%,-4.84%,-5.01%,85.80,91.22,30.95,122.17,3.1%,42%,21%,17%,0.69,AA,5.0%,20,游族转债!
22,远东转债,128075,远东传动,2406,汽车,107.86,0.85%,-0.09%,5.27,1.35%,5.2,0.5%,115.2,5.79,1.14,91.02,18.5%,3月13天,5.78年,3.78年,30.2%,27.5%,8.9,1.17%,0.69%,1.07%,-1.00%,-1.18%,85.71,87.36,20.67,108.02,-0.1%,30%,18%,17%,0.57,AA,5.0%,14,远东转债
23,桃李转债,113544,桃李面包,603866,食品饮料,118.75,1.37%,0.99%,45.01,3.90%,6.9,0.6%,115.3,47.54,8.59,94.68,25.4%,3月12天,5.77年,3.77年,3.4%,3.2%,10.0,-0.52%,-0.99%,-0.61%,-3.39%,-3.57%,85.84,87.49,22.3,109.79,8.2%,39%,29%,16%,0.6,AA,5.0%,18,桃李转债
24,晶瑞转债,123031,晶瑞股份,300655,石油天然气化工,154.999,3.33%,-1.51%,32.3,1.89%,157.0,55.0%,116.2,18.38,9.4,175.73,-11.8%,2月21天,5.71年,3.71年,3.8%,6.6%,1.9,-5.00%,-5.46%,-5.09%,-9.93%,-10.1%,78.58,77.51,104.25,181.76,-14.7%,69%,<2%,18%,0.96,A+,7.5%,23,晶瑞转债
25,哈尔转债,128073,哈尔斯,2615,其他,105.833,0.14%,0.82%,5.33,1.72%,1.5,0.5%,115.7,5.8,2.48,91.9,15.2%,2月15天,4.69年,2.69年,13.7%,12.6%,3.0,1.95%,1.34%,1.82%,-1.14%,-1.30%,86.85,88.38,19.48,107.86,-1.9%,42%,17%,17%,0.56,AA-,6.0%,24,哈尔转债
26,九洲转债,123030,九洲电气,300040,能源电力,105.00399999999999,0.00%,0.80%,5.38,1.32%,2.2,0.7%,120.5,5.7,0.95,94.39,11.2%,2月14天,5.68年,3.68年,16.7%,15.8%,3.1,2.50%,1.86%,2.37%,-0.25%,-0.45%,83.32,87.12,25.4,112.52,-6.7%,40%,11%,18%,0.6,AA-,6.0%,27,九洲转债
27,翔鹭转债!,128072,翔鹭钨业,2842,有色金属,106.20100000000001,0.17%,0.04%,11.46,0.53%,0.6,0.2%,115.5,15.36,3.76,74.61,42.3%,2月13天,5.68年,3.68年,9.6%,7.2%,3.0,1.52%,1.02%,1.42%,-0.59%,-0.78%,83.16,83.49,14.0,97.49,8.9%,67%,32%,18%,0.4,AA-,6.0%,17,翔鹭转债!
