序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
74,苏银转债,110053,江苏银行,600919,金融,112.88,0.96%,-0.96%,7.15,0.00%,154.0,0.7%,119.3,7.56,0.76,94.58,19.4%,转股中,5.25年,无权,24.2%,22.9%,200.0,1.09%,0.44%,0.96%,无权,无权,无权,97.65,18.05,115.7,-2.4%,19%,14%,18%,0.5,AAA,4.0%,63,苏银转债
75,浙商转债!,113022,浙商证券,601878,金融,107.0,1.00%,0.79%,9.01,6.00%,52.0,1.4%,110.0,12.46,2.13,72.31,48.0%,转股中,5.24年,无权,11.7%,8.4%,35.0,0.58%,0.22%,0.50%,无权,无权,无权,89.9,7.78,97.68,9.5%,46%,35%,18%,0.3,AAA,4.0%,38,浙商转债!
76,视源转债,128059,视源股份,2841,电子,126.8,0.47%,-0.33%,85.12,0.19%,3.1,0.3%,114.3,75.72,12.35,112.41,12.8%,转股中,5.24年,3.24年,1.7%,1.9%,9.4,-1.97%,-2.44%,-2.06%,-5.72%,-5.91%,88.07,88.99,34.09,123.08,3.0%,52%,22%,16%,0.76,AA,5.0%,17,视源转债
77,中鼎转2!,127011,中鼎股份,887,汽车,108.5,0.28%,0.10%,8.2,1.61%,5.4,0.4%,115.7,11.79,1.17,69.55,56.0%,转股中,5.23年,3.23年,12.0%,8.3%,12.0,1.26%,0.72%,1.15%,-1.24%,-1.47%,89.75,92.38,5.84,98.22,10.5%,35%,35%,17%,0.23,AA+,4.5%,19,中鼎转2!
78,拓邦转债,128058,拓邦股份,2139,电子,116.273,0.67%,0.80%,5.39,2.67%,3.2,0.5%,123.0,5.54,2.34,97.29,19.5%,转股中,5.23年,3.23年,10.4%,10.1%,5.7,1.11%,0.35%,0.95%,-3.02%,-3.28%,89.09,95.9,19.71,115.62,0.6%,54%,19%,16%,0.55,AA,5.0%,25,拓邦转债
79,博彦转债,128057,博彦科技,2649,计算机及应用,115.1,0.70%,0.25%,9.33,1.30%,4.2,0.6%,117.6,8.81,1.87,105.9,8.7%,转股中,5.23年,3.23年,11.7%,12.4%,5.7,0.43%,-0.16%,0.31%,-2.94%,-3.16%,85.67,87.35,31.04,118.39,-2.8%,75%,13%,16%,0.73,AA-,6.0%,53,博彦转债
80,贵广转债,110052,贵广网络,600996,传媒娱乐,115.97,0.66%,-0.51%,8.02,0.25%,34.0,1.9%,119.0,8.04,1.86,99.75,16.3%,转股中,5.23年,3.23年,18.1%,18.1%,15.3,0.51%,-0.13%,0.38%,-3.11%,-3.34%,90.05,95.06,20.73,115.79,0.2%,43%,17%,16%,0.58,AA+,4.5%,24,贵广转债
81,万信转2!,123021,万达信息,300168,计算机及应用,129.196,0.86%,0.02%,16.87,1.08%,17.0,2.0%,118.3,13.6,5.12,124.04,4.2%,转股中,5.22年,3.22年,3.4%,4.2%,6.5,-1.70%,-2.30%,-1.82%,-6.32%,-6.51%,88.15,92.17,41.47,133.64,-3.3%,49%,11%,16%,0.81,AA,5.0%,30,万信转2!
82,中信转债,113021,中信银行,601998,金融,109.15,0.85%,-0.02%,6.12,2.17%,74.0,0.2%,119.1,7.22,0.69,84.76,28.8%,转股中,5.22年,无权,13.4%,11.3%,400.0,1.74%,1.08%,1.61%,无权,无权,无权,97.6,11.42,109.02,0.1%,23%,18%,17%,0.38,AAA,4.0%,52,中信转债
83,富祥转债,123020,富祥股份,300497,医药,121.579,0.34%,0.02%,18.17,0.44%,3.2,0.7%,121.1,14.93,3.88,121.7,-0.1%,转股中,5.21年,3.21年,7.6%,9.3%,3.8,-0.08%,-0.77%,-0.22%,-4.46%,-4.69%,86.03,90.05,42.62,132.67,-8.4%,57%,<2%,16%,0.81,AA-,6.0%,34,富祥转债
84,长城转债!,113528,长城科技,603897,机械装备制造,99.14,0.94%,0.65%,18.44,4.18%,12.0,2.0%,118.1,24.03,1.86,76.74,29.2%,转股中,5.21年,3.21年,19.3%,14.8%,6.3,3.51%,2.87%,3.38%,1.59%,1.33%,86.01,87.82,12.33,100.16,-1.0%,47%,18%,17%,0.38,AA-,6.0%,39,长城转债!
85,今飞转债!,128056,今飞凯达,2863,汽车,98.15,0.48%,0.05%,5.44,1.12%,3.5,1.0%,121.6,6.78,2.06,80.24,22.3%,转股中,5.21年,3.21年,18.0%,14.4%,3.7,4.31%,3.55%,4.16%,1.98%,1.70%,82.38,84.26,18.05,102.31,-4.1%,65%,13%,17%,0.48,A+,7.5%,54,今飞转债!
86,中天转债!,110051,中天科技,600522,通信互联网,104.54,0.52%,-0.15%,8.1,1.00%,46.0,1.1%,114.3,10.19,1.24,79.49,31.5%,转股中,5.21年,3.21年,16.0%,12.7%,39.7,1.81%,1.30%,1.71%,-0.14%,-0.36%,89.61,91.31,9.76,101.07,3.4%,34%,21%,16%,0.37,AA+,4.5%,33,中天转债!
87,长青转2,128055,长青股份,2391,石油天然气化工,115.77799999999999,1.01%,-0.38%,7.84,0.90%,12.0,1.2%,115.5,7.41,1.3,105.8,9.4%,转股中,5.21年,3.21年,21.6%,22.9%,9.1,-0.05%,-0.58%,-0.15%,-3.17%,-3.38%,88.40,90.1,28.36,118.47,-2.3%,41%,13%,16%,0.7,AA,5.0%,27,长青转2
88,中来转债!,123019,中来股份,300393,能源电力,114.17,-0.18%,-0.88%,14.34,-1.58%,10.0,0.9%,124.9,13.29,1.94,107.9,5.8%,转股中,5.20年,3.20年,19.4%,21.0%,10.0,1.79%,0.97%,1.63%,-2.53%,-2.79%,86.37,92.94,31.76,124.7,-8.4%,50%,<2%,18%,0.67,AA-,6.0%,53,中来转债!
89,中宠转债!,128054,中宠股份,2891,农业,115.85,1.29%,2.37%,23.46,4.59%,5.9,2.6%,115.6,22.28,4.79,105.3,10.0%,转股中,5.17年,3.17年,4.9%,5.1%,1.9,-0.04%,-0.58%,-0.15%,-3.23%,-3.44%,81.86,80.18,37.68,117.86,-1.7%,58%,18%,16%,0.8,A+,7.5%,25,中宠转债!
90,尚荣转债,128053,尚荣医疗,2551,医药,103.15,0.49%,0.11%,4.36,1.16%,11.0,1.4%,115.3,4.89,1.32,89.16,15.7%,转股中,5.17年,3.17年,24.4%,21.7%,7.5,2.23%,1.68%,2.12%,0.21%,-0.02%,88.36,90.06,16.38,106.45,-3.1%,41%,13%,16%,0.51,AA,5.0%,65,尚荣转债
91,维格转债!,113527,锦泓集团,603518,服装纺织,92.08,0.39%,0.07%,6.77,2.73%,12.0,1.8%,120.7,10.52,0.71,64.35,43.1%,转股中,5年41天,3年41天,43.7%,28.1%,7.5,5.57%,4.81%,5.41%,3.85%,3.59%,88.83,94.57,4.5,99.07,-7.1%,42%,<2%,18%,0.17,AA,5.0%,76,维格转债!
92,联泰转债!,113526,联泰环保,603797,城市公用设施,128.49,1.33%,0.91%,10.94,2.24%,2.9,1.1%,111.1,8.72,2.63,125.46,2.4%,转股中,5年40天,3年40天,6.3%,7.9%,2.2,-2.80%,-3.18%,-2.88%,-6.34%,-6.53%,88.43,87.02,37.87,124.89,2.9%,54%,83%,18%,1.0,AA,5.0%,15,联泰转债!
93,凯龙转债!,128052,凯龙股份,2783,石油天然气化工,174.697,-0.06%,0.23%,11.88,0.17%,20.0,15.8%,115.5,6.77,2.59,175.48,-0.4%,转股中,5年7天,3年7天,1.6%,2.9%,0.7,-8.06%,-8.53%,-8.15%,-14.8%,-14.9%,89.21,90.92,84.85,175.78,-0.6%,81%,<2%,17%,1.0,AA,5.0%,17,凯龙转债!
94,溢利转债,123018,溢多利,300381,医药,114.3,-0.26%,0.92%,8.85,0.91%,1.4,0.3%,115.3,8.35,1.67,105.99,7.8%,转股中,5年6.4天,3年6.4天,10.0%,10.6%,3.9,0.13%,-0.41%,0.02%,-3.08%,-3.30%,86.41,86.62,32.08,118.71,-3.7%,39%,14%,17%,0.72,AA-,6.0%,25,溢利转债
95,佳都转债!,110050,佳都科技,600728,计算机及应用,124.6,0.31%,0.38%,9.25,0.87%,7.2,0.9%,114.3,7.89,3.26,117.24,6.3%,转股中,5年5.4天,3年5.4天,4.3%,5.0%,6.6,-1.74%,-2.24%,-1.84%,-5.64%,-5.84%,89.04,89.97,36.86,126.83,-1.8%,43%,15%,16%,0.79,AA,5.0%,17,佳都转债!
96,海尔转债!,110049,海尔智家,600690,家电,129.69,7.47%,0.34%,18.51,7.80%,352.0,64.6%,110.0,14.2,2.68,130.35,-0.5%,转股中,5年4.4天,3年4.4天,0.4%,0.5%,4.3,-3.29%,-3.64%,-3.36%,-6.90%,-7.09%,91.47,90.72,39.63,130.35,-0.5%,32%,<2%,16%,1.0,AAA,4.0%,24,海尔转债!
97,台华转债!,113525,台华新材,603055,服装纺织,104.08,0.14%,0.10%,6.63,0.61%,1.9,0.3%,115.3,8.11,1.97,81.75,27.3%,转股中,5年3.4天,3年3.4天,10.4%,8.5%,5.3,2.11%,1.54%,2.00%,-0.09%,-0.32%,89.06,90.78,12.17,102.94,1.1%,49%,20%,17%,0.41,AA,5.0%,13,台华转债!
98,奇精转债!,113524,奇精机械,603677,家电,102.45,0.71%,-0.67%,12.26,0.08%,2.4,0.7%,118.3,14.56,2.42,84.2,21.7%,转股中,5年0.4天,3年0.4天,13.9%,11.7%,3.3,3.06%,2.39%,2.92%,0.54%,0.30%,89.10,93.16,13.56,106.72,-4.0%,56%,12%,18%,0.42,AA,5.0%,44,奇精转债!
99,光华转债!,128051,光华科技,2741,电子,105.51799999999999,0.26%,-0.36%,11.53,-0.17%,1.3,0.5%,116.0,12.72,3.57,90.64,16.4%,转股中,5年0.4天,3年0.4天,5.8%,5.3%,2.5,1.96%,1.37%,1.84%,-0.36%,-0.62%,86.97,87.31,20.68,107.99,-2.3%,37%,14%,17%,0.57,AA-,6.0%,25,光华转债!
100,钧达转债!,128050,钧达股份,2865,汽车,97.536,0.43%,-0.41%,14.57,0.07%,2.2,0.7%,123.5,21.66,2.15,67.27,45.0%,转股中,4.99年,2.99年,18.2%,12.2%,3.2,4.94%,4.10%,4.77%,2.02%,1.78%,86.55,92.87,6.4,99.26,-1.7%,62%,16%,18%,0.21,AA-,6.0%,59,钧达转债!
101,伟明转债!,113523,伟明环保,603568,城市公用设施,128.0,0.99%,-0.19%,22.43,0.95%,24.0,5.9%,114.9,17.47,5.7,128.39,-0.3%,转股中,4.99年,2.99年,1.5%,1.9%,3.1,-2.18%,-2.69%,-2.28%,-6.58%,-6.77%,88.75,90.46,45.95,136.42,-6.2%,40%,<2%,16%,0.85,AA,5.0%,22,伟明转债!
102,福能转债,110048,福能股份,600483,能源电力,120.01,0.35%,0.96%,8.97,1.93%,64.0,1.9%,113.9,8.48,1.17,105.78,13.5%,转股中,4.98年,2.98年,20.3%,21.5%,28.3,-1.06%,-1.55%,-1.16%,-4.65%,-4.85%,90.12,91.83,26.0,117.83,1.9%,28%,21%,16%,0.68,AA+,4.5%,11,福能转债
103,华源转债!,128049,华源控股,2787,造纸包装印刷,100.96,0.71%,0.50%,6.54,2.35%,1.4,0.4%,115.2,7.52,1.44,86.97,16.1%,转股中,4.96年,2.96年,19.7%,17.1%,4.0,2.74%,2.17%,2.63%,0.81%,0.58%,86.45,86.79,18.69,105.48,-4.3%,66%,14%,18%,0.52,AA-,6.0%,50,华源转债!
104,旭升转债!,113522,旭升股份,603305,汽车,119.8,0.50%,-1.80%,28.74,-2.34%,9.8,1.9%,119.9,29.6,7.98,97.09,23.4%,转股中,4.94年,2.94年,3.6%,3.5%,4.2,0.05%,-0.64%,-0.09%,-4.61%,-4.80%,88.96,94.61,18.8,113.41,5.6%,59%,22%,16%,0.55,AA,5.0%,22,旭升转债!
105,山鹰转债,110047,山鹰纸业,600567,造纸包装印刷,115.0,0.00%,0.69%,3.31,1.22%,25.0,1.0%,118.1,3.34,1.09,99.1,16.0%,转股中,4.94年,2.94年,15.2%,15.0%,23.0,0.62%,-0.02%,0.49%,-3.27%,-3.48%,90.32,95.4,20.01,115.4,-0.3%,29%,19%,17%,0.56,AA+,4.5%,43,山鹰转债
106,寒锐转债!,123017,寒锐钴业,300618,有色金属,127.79899999999999,1.88%,1.63%,67.68,4.17%,12.0,2.1%,110.8,57.49,11.32,117.72,8.6%,转股中,4.94年,2.94年,2.4%,2.8%,4.4,-2.87%,-3.26%,-2.95%,-6.64%,-6.82%,86.33,83.54,42.36,125.9,1.5%,75%,22%,16%,0.84,AA-,6.0%,23,寒锐转债!
107,圆通转债,110046,圆通速递,600233,交通运输,122.5,1.58%,-0.84%,12.12,1.00%,36.0,0.8%,115.1,10.73,2.88,112.95,8.5%,转股中,4.94年,2.94年,10.3%,11.6%,35.4,-1.28%,-1.81%,-1.38%,-5.30%,-5.51%,90.49,93.02,30.74,123.75,-1.0%,37%,14%,16%,0.73,AA+,4.5%,25,圆通转债
108,桐昆转债!,113020,桐昆股份,601233,服装纺织,122.8,1.19%,-1.65%,13.43,-0.67%,48.0,1.1%,112.8,12.51,1.39,107.35,14.4%,转股中,4.94年,2.94年,14.0%,15.0%,34.8,-1.74%,-2.19%,-1.83%,-5.46%,-5.65%,90.22,91.13,27.34,118.47,3.7%,49%,20%,16%,0.7,AA+,4.5%,19,桐昆转债!
109,特发转债!,127008,特发信息,70,通信互联网,191.51,0.74%,-0.46%,10.73,0.28%,8.4,6.3%,111.1,5.61,3.28,191.27,0.1%,转股中,3.93年,1.93年,0.8%,1.5%,0.7,-13.1%,-13.5%,-13.2%,-19.7%,-19.8%,92.00,91.95,98.96,190.91,0.3%,65%,<2%,17%,1.0,AA,5.0%,18,特发转债!
110,科森转债!,113521,科森科技,603626,通信互联网,115.4,4.90%,2.37%,9.81,9.98%,107.0,15.5%,115.2,8.7,2.54,112.76,2.3%,转股中,4.93年,2.93年,15.1%,17.0%,6.1,-0.04%,-0.59%,-0.15%,-3.48%,-3.69%,89.16,91.01,33.94,124.95,-7.6%,60%,10%,18%,0.73,AA,5.0%,57,科森转债!
111,张行转债,128048,张家港行,2839,金融,111.85,1.46%,0.64%,5.62,3.88%,14.0,0.5%,113.9,5.91,1.03,95.09,17.6%,转股中,4.92年,无权,24.6%,23.4%,25.0,0.36%,-0.15%,0.26%,无权,无权,无权,92.11,19.23,111.34,0.5%,51%,20%,18%,0.54,AA+,4.5%,30,张行转债
112,百合转债,113520,梦百合,603313,其他,139.83,1.41%,1.69%,20.07,3.40%,15.0,3.3%,115.2,14.28,3.23,140.55,-0.5%,转股中,4.91年,2.91年,4.9%,6.9%,3.2,-3.94%,-4.46%,-4.04%,-9.40%,-9.58%,86.72,87.06,60.21,147.27,-5.1%,40%,<2%,16%,0.91,AA-,6.0%,13,百合转债
113,洲明转债,123016,洲明科技,300232,电子,124.101,0.13%,0.41%,9.07,0.67%,1.3,0.2%,115.3,7.82,3.12,115.98,7.0%,转股中,4.90年,2.90年,5.6%,6.5%,4.7,-1.51%,-2.05%,-1.61%,-5.69%,-5.91%,86.98,87.19,39.08,126.27,-1.7%,45%,15%,16%,0.81,AA-,6.0%,16,洲明转债
114,长久转债,113519,长久物流,603569,交通运输,108.69,-0.09%,0.54%,10.22,1.09%,0.7,0.1%,120.1,11.85,2.38,86.24,26.0%,转股中,4.90年,2.90年,12.2%,10.5%,7.0,2.09%,1.37%,1.95%,-1.57%,-1.80%,89.33,94.99,12.95,107.94,0.7%,46%,20%,17%,0.42,AA,5.0%,17,长久转债
115,利尔转债!,128046,利尔化学,2258,石油天然气化工,106.132,1.27%,-0.94%,13.32,1.22%,4.7,0.5%,112.9,18.62,2.27,71.54,48.4%,转股中,4.84年,2.84年,12.2%,8.7%,8.5,1.24%,0.75%,1.14%,-0.97%,-1.19%,89.39,89.54,6.62,96.16,10.4%,40%,32%,16%,0.27,AA,5.0%,13,利尔转债!
116,顾家转债,113518,顾家家居,603816,其他,127.2,0.54%,-0.34%,43.71,0.25%,11.0,0.8%,114.9,36.57,5.16,119.52,6.4%,转股中,4.75年,2.75年,4.2%,5.0%,11.0,-2.16%,-2.70%,-2.26%,-6.92%,-7.12%,89.81,91.55,37.21,128.75,-1.2%,42%,15%,16%,0.8,AA,5.0%,14,顾家转债
117,机电转债!,128045,中航机电,2013,航空航天,115.3,0.44%,-0.65%,6.73,-0.44%,1.1,0.0%,109.8,7.63,2.62,88.2,30.7%,转股中,4.71年,2.71年,8.6%,7.6%,21.0,-1.05%,-1.43%,-1.13%,-3.78%,-3.99%,92.39,91.62,13.2,104.83,10.0%,46%,31%,16%,0.47,AAA,4.0%,13,机电转债!
118,岭南转债!,128044,岭南股份,2717,城市公用设施,99.43799999999999,0.08%,0.18%,4.92,0.61%,12.0,1.9%,111.8,5.92,1.63,83.11,19.6%,转股中,4.67年,2.67年,8.7%,7.2%,6.6,2.59%,2.11%,2.50%,1.37%,1.13%,90.06,89.42,12.14,101.56,-2.1%,64%,15%,16%,0.43,AA,5.0%,39,岭南转债!
119,蓝盾转债!!,123015,蓝盾股份,300297,计算机及应用,111.4,-0.04%,0.13%,5.62,0.36%,2.6,2.3%,112.9,5.79,1.43,97.06,14.8%,转股中,4.67年,2.67年,1.4%,1.4%,1.0,0.35%,-0.16%,0.24%,-2.54%,-2.76%,90.17,90.32,10.47,100.79,10.5%,41%,>100%,16%,0.24,AA,5.0%,20,蓝盾转债!!
120,曙光转债!,113517,中科曙光,603019,计算机及应用,117.8,0.94%,-0.13%,35.5,1.34%,13.0,1.0%,112.9,36.53,8.35,97.18,21.2%,转股中,4.65年,2.65年,3.5%,3.4%,11.2,-0.88%,-1.38%,-0.98%,-4.49%,-4.71%,90.25,90.4,20.46,110.86,6.3%,54%,26%,16%,0.61,AA,5.0%,11,曙光转债!
121,东音转债!!,128043,东音股份,2793,机械装备制造,209.00099999999998,-7.93%,7.64%,13.83,-0.29%,240.0,70.8%,115.1,6.55,5.17,211.15,-1.0%,转股中,4.64年,2.64年,3.1%,6.5%,1.5,-12.3%,-12.7%,-12.4%,-14.4%,-14.5%,87.99,88.33,123.57,211.91,-1.4%,72%,>100%,17%,1.0,AA-,6.0%,13,东音转债!!
122,苏农转债,113516,苏农银行,603323,金融,108.12,0.60%,0.24%,5.06,1.81%,5.0,0.4%,115.1,5.67,0.81,89.24,21.2%,转股中,4.64年,无权,14.1%,12.6%,12.9,1.39%,0.79%,1.27%,无权,无权,无权,94.26,14.64,108.89,-0.7%,42%,19%,18%,0.46,AA+,4.5%,28,苏农转债
123,凯发转债!,123014,凯发电气,300407,能源电力,108.166,0.34%,0.45%,7.62,1.33%,1.3,1.0%,109.1,8.14,1.84,93.61,15.5%,转股中,3.62年,1.62年,5.0%,4.7%,1.2,0.24%,-0.23%,0.15%,-3.33%,-3.52%,89.56,84.29,22.27,106.55,1.5%,49%,23%,18%,0.6,A+,7.5%,20,凯发转债!
124,凯中转债!,128042,凯中精密,2823,能源电力,100.41,0.60%,-0.48%,8.56,0.71%,4.0,1.0%,116.9,13.01,2.07,65.8,52.6%,转股中,4.63年,2.63年,16.8%,11.0%,4.2,3.44%,2.77%,3.31%,1.12%,0.88%,90.34,93.68,3.88,97.56,2.9%,61%,24%,17%,0.16,AA,5.0%,34,凯中转债!
125,横河转债!,123013,横河模具,300539,机械装备制造,101.82,0.96%,-0.67%,7.09,0.71%,0.4,1.1%,116.0,9.22,3.25,76.9,32.4%,转股中,4.62年,2.62年,2.4%,1.9%,0.4,2.95%,2.30%,2.82%,0.86%,0.56%,85.38,83.77,14.22,97.99,3.9%,69%,23%,17%,0.41,A+,7.5%,20,横河转债!
126,高能转债,113515,高能环境,603588,城市公用设施,114.97,0.41%,-0.27%,9.32,0.22%,2.3,0.3%,112.9,9.33,2.14,99.89,15.1%,转股中,4.62年,2.62年,11.3%,11.3%,7.1,-0.40%,-0.90%,-0.50%,-3.77%,-3.99%,90.39,90.54,22.44,112.97,1.8%,52%,19%,16%,0.64,AA,5.0%,14,高能转债
127,万顺转债,123012,万顺新材,300057,造纸包装印刷,117.788,-0.01%,0.93%,5.97,1.19%,0.5,0.3%,110.9,5.36,1.2,111.38,5.8%,转股中,4.60年,2.60年,3.3%,3.7%,1.3,-1.33%,-1.75%,-1.41%,-4.64%,-4.86%,88.14,85.3,36.93,122.23,-3.6%,39%,15%,18%,0.77,AA-,6.0%,19,万顺转债
128,威帝转债,113514,威帝股份,603023,汽车,114.29,0.99%,-0.40%,5.47,0.74%,56.0,49.5%,111.1,4.85,3.69,112.78,1.3%,转股中,3.60年,1.60年,4.1%,4.6%,1.0,-0.79%,-1.35%,-0.91%,-6.34%,-6.53%,89.68,85.95,35.86,121.81,-6.2%,42%,<2%,18%,0.8,A+,7.5%,40,威帝转债
129,德尔转债!,123011,德尔股份,300473,汽车,121.35,0.00%,-0.12%,42.01,-0.14%,9.4,2.0%,117.1,34.66,2.3,121.21,0.1%,转股中,4.60年,2.60年,8.6%,10.5%,3.9,-0.73%,-1.37%,-0.86%,-5.53%,-5.76%,88.36,90.11,41.39,131.5,-7.7%,35%,<2%,17%,0.81,AA-,6.0%,51,德尔转债!
130,盛路转债!!,128041,盛路通信,2446,通信互联网,139.564,-6.26%,-3.51%,9.24,-9.77%,4.0,3.8%,115.0,6.85,2.26,134.89,3.5%,转股中,4.59年,2.59年,0.9%,1.2%,0.7,-4.20%,-4.75%,-4.31%,-10.3%,-10.5%,90.59,92.34,42.69,135.04,3.4%,54%,<2%,16%,1.0,AA,5.0%,9,盛路转债!!
131,海澜转债!,110045,海澜之家,600398,服装纺织,99.39,-0.06%,0.18%,7.78,0.78%,3.3,0.1%,111.6,12.02,2.72,64.73,53.6%,转股中,4.58年,2.58年,8.6%,5.6%,29.5,2.60%,2.12%,2.50%,1.14%,0.95%,90.92,91.5,3.04,94.54,5.1%,30%,29%,16%,0.15,AA+,4.5%,38,海澜转债!
132,博世转债!,123010,博世科,300422,城市公用设施,102.90100000000001,-0.07%,1.18%,10.18,2.52%,1.5,0.3%,112.9,12.38,2.23,82.23,25.1%,转股中,4.56年,2.56年,11.9%,9.8%,4.3,2.05%,1.52%,1.95%,0.11%,-0.14%,88.35,87.03,13.89,100.93,2.0%,66%,22%,17%,0.44,AA-,6.0%,39,博世转债!
133,湖广转债!,127007,湖北广电,665,传媒娱乐,107.83,0.29%,-0.10%,4.96,0.40%,17.0,1.2%,113.1,5.61,0.73,88.41,22.0%,转股中,4.54年,2.54年,27.6%,24.4%,13.2,1.07%,0.53%,0.96%,-1.51%,-1.76%,92.09,93.02,13.75,106.77,1.0%,39%,19%,17%,0.47,AA+,4.5%,20,湖广转债!
134,广电转债!,110044,广电网络,600831,传媒娱乐,131.46,0.88%,-0.20%,8.61,0.82%,6.7,6.2%,112.9,6.9,1.59,124.78,5.4%,转股中,4.54年,2.54年,1.3%,1.7%,0.8,-3.36%,-3.85%,-3.46%,-8.57%,-8.78%,90.74,90.89,42.8,133.69,-1.7%,46%,15%,17%,0.83,AA,5.0%,8,广电转债!
135,千禾转债!,113511,千禾味业,603027,食品饮料,122.71,1.75%,0.67%,21.35,2.94%,3.5,1.6%,112.8,18.31,6.72,116.6,5.2%,转股中,4.52年,2.52年,1.9%,2.2%,1.9,-1.88%,-2.38%,-1.98%,-6.26%,-6.48%,88.47,87.15,38.73,125.88,-2.5%,60%,14%,16%,0.82,AA-,6.0%,30,千禾转债!
136,再升转债!,113510,再升科技,603601,城市公用设施,106.75,1.09%,0.03%,7.24,3.28%,0.6,0.5%,112.9,8.59,3.73,84.28,26.7%,转股中,4.52年,0.52年,2.2%,1.9%,1.1,1.26%,0.73%,1.16%,-8.16%,-8.36%,96.84,87.26,15.55,102.81,3.8%,43%,25%,17%,0.34,AA-,6.0%,28,再升转债!
137,华通转债!,128040,华通医药,2758,医药,106.3,0.57%,0.01%,10.11,1.10%,2.4,1.0%,112.9,11.37,3.37,88.92,19.5%,转股中,4.50年,2.50年,10.4%,9.3%,2.2,1.37%,0.84%,1.27%,-1.04%,-1.29%,88.65,87.33,18.98,106.31,-0.0%,51%,19%,18%,0.53,AA-,6.0%,48,华通转债!
138,三力转债!,128039,三 力 士,2224,机械装备制造,108.5,0.79%,-0.09%,5.77,1.05%,5.0,1.8%,110.3,5.83,1.9,98.97,9.6%,转股中,4.49年,2.49年,6.3%,6.2%,2.6,0.37%,-0.06%,0.29%,-1.94%,-2.16%,88.42,85.36,26.13,111.49,-2.7%,39%,14%,17%,0.67,AA-,6.0%,20,三力转债!
139,新泉转债!,113509,新泉股份,603179,汽车,117.9,0.02%,0.70%,18.73,1.13%,0.6,0.1%,110.8,18.89,2.81,99.15,18.9%,转股中,4.47年,2.47年,10.6%,10.5%,4.5,-1.40%,-1.84%,-1.49%,-4.92%,-5.15%,90.92,89.46,22.92,112.39,4.9%,52%,27%,17%,0.63,AA,5.0%,16,新泉转债!
140,新凤转债!,113508,新凤鸣,603225,服装纺织,105.86,0.47%,-0.07%,11.74,1.47%,3.4,0.1%,112.8,15.91,1.59,73.79,43.5%,转股中,4.37年,2.37年,13.1%,9.7%,21.5,1.49%,0.95%,1.38%,-0.97%,-1.22%,91.39,91.55,6.29,97.84,8.2%,50%,31%,16%,0.27,AA,5.0%,23,新凤转债!
141,金农转债!!,128036,金新农,2548,农业,106.81700000000001,0.02%,-0.01%,8.3,0.85%,1.3,0.8%,110.9,9.62,2.14,86.28,23.8%,转股中,4.24年,2.24年,4.1%,3.5%,1.5,0.93%,0.45%,0.84%,-1.32%,-1.59%,90.03,87.13,12.99,100.11,6.7%,42%,>100%,17%,0.0,AA-,6.0%,17,金农转债!!
142,利欧转债!!,128038,利欧股份,2131,传媒娱乐,129.00799999999998,-0.92%,0.92%,2.17,0.00%,3.5,1.8%,113.8,1.72,1.78,126.16,2.3%,转股中,4.27年,2.27年,1.1%,1.3%,1.5,-2.95%,-3.50%,-3.06%,-8.79%,-9.01%,91.82,92.79,33.37,126.16,2.3%,81%,87%,16%,1.0,AA,5.0%,29,利欧转债!!
143,岩土转债!,128037,中化岩土,2542,建筑,95.3,0.25%,-0.25%,3.72,0.00%,1.2,0.2%,112.8,8.01,1.74,46.44,105%,转股中,4.25年,2.25年,8.9%,4.1%,6.0,4.13%,3.54%,4.01%,3.42%,3.14%,91.91,92.06,0.55,92.61,2.9%,44%,32%,16%,0.01,AA,5.0%,51,岩土转债!
144,敖东转债!,127006,吉林敖东,623,金融,106.185,0.84%,-0.16%,15.99,2.24%,17.0,0.7%,108.4,20.62,0.86,77.55,36.9%,转股中,4.25年,2.25年,12.9%,10.0%,24.1,0.49%,0.12%,0.42%,-1.63%,-1.80%,91.85,90.16,7.85,98.01,8.3%,29%,29%,16%,0.3,AA+,4.5%,37,敖东转债!
145,长证转债!,127005,长江证券,783,金融,115.73,1.87%,-0.05%,6.53,3.98%,101.0,1.8%,109.7,7.43,1.34,87.89,31.7%,转股中,4.24年,无权,13.8%,12.2%,50.0,-1.28%,-1.69%,-1.36%,无权,无权,无权,93.19,13.13,106.32,8.8%,32%,32%,18%,0.46,AAA,4.0%,26,长证转债!
146,星源转债!,123009,星源材质,300568,汽车,114.416,1.44%,0.62%,26.06,3.41%,3.2,0.6%,110.3,26.64,2.47,97.82,17.0%,转股中,4.23年,2.23年,8.0%,7.8%,4.8,-0.88%,-1.32%,-0.97%,-4.31%,-4.54%,91.78,90.1,20.75,110.84,3.2%,58%,24%,17%,0.6,AA,5.0%,10,星源转债!
